# created by program: /scratch/aporutho/miniconda3/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0004
# created at:         Wed Dec  6 07:19:12 2023
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_3888_lipid_systems/WE_runs/Analysis/data/multi_west/pdist.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000104e-03 0.000000000000000000e+00 inf -inf
1.499999999999999944e-02 0.000000000000000000e+00 inf -inf
2.500000000000000139e-02 0.000000000000000000e+00 inf -inf
3.500000000000000333e-02 0.000000000000000000e+00 inf -inf
4.499999999999999833e-02 0.000000000000000000e+00 inf -inf
5.500000000000000028e-02 0.000000000000000000e+00 inf -inf
6.500000000000000222e-02 0.000000000000000000e+00 inf -inf
7.500000000000001110e-02 0.000000000000000000e+00 inf -inf
8.499999999999999223e-02 0.000000000000000000e+00 inf -inf
9.500000000000000111e-02 0.000000000000000000e+00 inf -inf
1.050000000000000100e-01 0.000000000000000000e+00 inf -inf
1.149999999999999911e-01 0.000000000000000000e+00 inf -inf
1.250000000000000000e-01 0.000000000000000000e+00 inf -inf
1.350000000000000089e-01 0.000000000000000000e+00 inf -inf
1.450000000000000178e-01 0.000000000000000000e+00 inf -inf
1.549999999999999989e-01 0.000000000000000000e+00 inf -inf
1.650000000000000078e-01 0.000000000000000000e+00 inf -inf
1.749999999999999889e-01 0.000000000000000000e+00 inf -inf
1.849999999999999978e-01 0.000000000000000000e+00 inf -inf
1.950000000000000067e-01 0.000000000000000000e+00 inf -inf
2.050000000000000155e-01 1.704832796877752202e-02 5.369220960062280668e+00 -1.768318208433445449e+00
2.149999999999999967e-01 4.802104922231522494e-02 4.333633652387026913e+00 -1.318568355181038099e+00
2.250000000000000056e-01 1.158639775291581825e-01 3.452856197078624678e+00 -9.360515665558108989e-01
2.349999999999999867e-01 1.545233435717977555e-01 3.164927916631338434e+00 -8.110059031736623902e-01
2.449999999999999956e-01 1.063195156704883626e-01 3.538824233635216476e+00 -9.733870104523957290e-01
2.550000000000000044e-01 6.055832887717186308e-01 1.799080985391606990e+00 -2.178261178117569252e-01
2.650000000000000133e-01 3.182400399768162691e-01 2.442467151911521306e+00 -4.972451796642424204e-01
2.750000000000000222e-01 6.689819008553584689e-01 1.699516086901231127e+00 -1.745856318061291823e-01
2.850000000000000311e-01 4.979743745609834793e-01 1.994724473639769124e+00 -3.027930051782373733e-01
2.949999999999999845e-01 5.980448824891383408e-01 1.811607287171768554e+00 -2.232662215535359540e-01
3.049999999999999933e-01 9.659231246893146272e-01 1.332188842656813144e+00 -1.505743657805045689e-02
3.150000000000000022e-01 1.297255806211425444e+00 1.037266698613308336e+00 1.130256231711196241e-01
3.250000000000000111e-01 8.093989790315229138e-01 1.508981121583930607e+00 -9.183734775919816240e-02
3.350000000000000200e-01 1.949518441747547293e+00 6.299354245257120510e-01 2.899273478139837157e-01
3.450000000000000289e-01 2.462582268328709301e+00 3.963073116890749592e-01 3.913907480364055003e-01
3.549999999999999822e-01 2.306244972385728342e+00 4.618971648445149292e-01 3.629054367421533644e-01
3.649999999999999911e-01 1.584182115574231275e+00 8.374495549165963393e-01 1.998051060682707880e-01
3.750000000000000000e-01 1.750061728986308740e+00 7.378667526337086002e-01 2.430533675921914827e-01
3.850000000000000089e-01 2.408609837931513287e+00 4.184680633155916096e-01 3.817664558901808225e-01
3.950000000000000178e-01 2.123371023922711931e+00 5.445128822250328016e-01 3.270258865653158376e-01
4.050000000000000266e-01 2.070907888688449550e+00 5.695307089609593643e-01 3.161607824646913145e-01
4.150000000000000355e-01 1.992742441079987215e+00 6.080060125451836051e-01 2.994511704285103271e-01
4.249999999999999889e-01 2.097993239541072974e+00 5.565365260196233343e-01 3.218040844129548828e-01
4.349999999999999978e-01 2.309843364831284607e+00 4.603380988511608374e-01 3.635825304999900087e-01
4.450000000000000067e-01 2.485743735890139750e+00 3.869459087866098379e-01 3.954563536598192375e-01
4.550000000000000155e-01 2.777449046894940210e+00 2.759849162424303781e-01 4.436461004282642451e-01
4.650000000000000244e-01 3.660200083908058399e+00 0.000000000000000000e+00 5.635048266408828610e-01
4.749999999999999778e-01 2.108986266654952146e+00 5.513104239585423505e-01 3.240737516999455670e-01
4.849999999999999867e-01 2.685170262312319700e+00 3.097736752963214935e-01 4.289718288208007602e-01
4.949999999999999956e-01 2.342606109771617984e+00 4.462537818876489704e-01 3.696992716386195976e-01
5.050000000000000044e-01 1.765026145956167136e+00 7.293523098050513909e-01 2.467511431291580237e-01
5.150000000000000133e-01 1.638890229308705537e+00 8.034984903209378970e-01 2.145498660769061261e-01
5.250000000000000222e-01 9.617546236560030604e-01 1.336513743470196136e+00 -1.693571713608163498e-02
5.350000000000000311e-01 1.754927478248351935e+00 7.350902805248896721e-01 2.442591741082098533e-01
5.450000000000000400e-01 2.205104169538223857e+00 5.067430634496062902e-01 3.434291104419693874e-01
5.550000000000000488e-01 2.713493771294617218e+00 2.992807945854691898e-01 4.335288290127929933e-01
5.650000000000000577e-01 3.330561800422339402e+00 9.437681505533612736e-02 5.225174966427466039e-01
5.749999999999999556e-01 2.849723977943494191e+00 2.502956739075687942e-01 4.548027966185700377e-01
5.849999999999999645e-01 2.293627251823889601e+00 4.673832964559027081e-01 3.605228400563326163e-01
5.949999999999999734e-01 2.972735905339097151e+00 2.080351046161708073e-01 4.731563286639142163e-01
6.049999999999999822e-01 2.637960452797680766e+00 3.275117508287074264e-01 4.212682804975024786e-01
6.149999999999999911e-01 2.865536842795163519e+00 2.447621013559924119e-01 4.572059966429308786e-01
6.250000000000000000e-01 2.487693336203935068e+00 3.861619035261041333e-01 3.957968428182399578e-01
6.350000000000000089e-01 2.422314225014317923e+00 4.127944391119191536e-01 3.842304795742285117e-01
6.450000000000000178e-01 3.128725264245058924e+00 1.568921558753320067e-01 4.953674290903213318e-01
6.550000000000000266e-01 2.679418278271130216e+00 3.119181030383252340e-01 4.280405156856083027e-01
6.650000000000000355e-01 2.782955145498167582e+00 2.740044485597203927e-01 4.445062066144528368e-01
6.750000000000000444e-01 1.622333023189804324e+00 8.136525626415748169e-01 2.101400084992069706e-01
