# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0004
# created at:         Tue Jan 30 15:29:17 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_7776_lipid_systems/WE_runs/Analysis/data/multi_west/pdist.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000104e-03 0.000000000000000000e+00 inf -inf
1.499999999999999944e-02 0.000000000000000000e+00 inf -inf
2.500000000000000139e-02 0.000000000000000000e+00 inf -inf
3.500000000000000333e-02 0.000000000000000000e+00 inf -inf
4.499999999999999833e-02 0.000000000000000000e+00 inf -inf
5.500000000000000028e-02 0.000000000000000000e+00 inf -inf
6.500000000000000222e-02 0.000000000000000000e+00 inf -inf
7.500000000000001110e-02 0.000000000000000000e+00 inf -inf
8.499999999999999223e-02 0.000000000000000000e+00 inf -inf
9.500000000000000111e-02 0.000000000000000000e+00 inf -inf
1.050000000000000100e-01 0.000000000000000000e+00 inf -inf
1.149999999999999911e-01 0.000000000000000000e+00 inf -inf
1.250000000000000000e-01 0.000000000000000000e+00 inf -inf
1.350000000000000089e-01 0.000000000000000000e+00 inf -inf
1.450000000000000178e-01 0.000000000000000000e+00 inf -inf
1.549999999999999989e-01 0.000000000000000000e+00 inf -inf
1.650000000000000078e-01 0.000000000000000000e+00 inf -inf
1.749999999999999889e-01 0.000000000000000000e+00 inf -inf
1.849999999999999978e-01 0.000000000000000000e+00 inf -inf
1.950000000000000067e-01 0.000000000000000000e+00 inf -inf
2.050000000000000155e-01 0.000000000000000000e+00 inf -inf
2.149999999999999967e-01 0.000000000000000000e+00 inf -inf
2.250000000000000056e-01 0.000000000000000000e+00 inf -inf
2.349999999999999867e-01 0.000000000000000000e+00 inf -inf
2.449999999999999956e-01 0.000000000000000000e+00 inf -inf
2.550000000000000044e-01 0.000000000000000000e+00 inf -inf
2.650000000000000133e-01 0.000000000000000000e+00 inf -inf
2.750000000000000222e-01 0.000000000000000000e+00 inf -inf
2.850000000000000311e-01 0.000000000000000000e+00 inf -inf
2.949999999999999845e-01 0.000000000000000000e+00 inf -inf
3.049999999999999933e-01 1.512270048994943973e-02 5.620211192815797396e+00 -1.820370649101878735e+00
3.150000000000000022e-01 1.435193087981576424e-02 5.672523662213558637e+00 -1.843089665896059381e+00
3.250000000000000111e-01 1.478869598179896605e-01 3.339959954533902931e+00 -8.300701189629949850e-01
3.350000000000000200e-01 4.348424291838989819e-01 2.261424417746292548e+00 -3.616680867995743509e-01
3.450000000000000289e-01 9.921580296952243749e-01 1.436525752726485416e+00 -3.419148452113010550e-03
3.549999999999999822e-01 1.411262488720738562e+00 1.084168186623802432e+00 1.496077981631424858e-01
3.649999999999999911e-01 1.582374096391188756e+00 9.697265605411590217e-01 1.993091648708698038e-01
3.750000000000000000e-01 2.723408025933260923e+00 4.267688257389470330e-01 4.351127130021597011e-01
3.850000000000000089e-01 2.245569908328831854e+00 6.196935267752340382e-01 3.513265799192656358e-01
3.950000000000000178e-01 2.517057262149257735e+00 5.055624064168939835e-01 4.008930957043286281e-01
4.050000000000000266e-01 3.011798945139958494e+00 3.261153160417893382e-01 4.788259768478306810e-01
4.150000000000000355e-01 2.931251658645676716e+00 3.532233534083526472e-01 4.670531058043050909e-01
4.249999999999999889e-01 2.694466093938277851e+00 4.374527975912321232e-01 4.304727229819025891e-01
4.349999999999999978e-01 3.069634563485671652e+00 3.070943526512230903e-01 4.870866762888373946e-01
4.450000000000000067e-01 2.954537449893264167e+00 3.453107652031603969e-01 4.704894991993928688e-01
4.550000000000000155e-01 3.459599949573294975e+00 1.874999115955739981e-01 5.390258821056095329e-01
4.650000000000000244e-01 3.168155428165323251e+00 2.755033378003612921e-01 5.008064797162903314e-01
4.749999999999999778e-01 3.782949309209889588e+00 9.814892653610907125e-02 5.778305218695549694e-01
4.849999999999999867e-01 4.173073741152403038e+00 0.000000000000000000e+00 6.204560590689148780e-01
4.949999999999999956e-01 3.876178304644637862e+00 7.380317726916807430e-02 5.884037464339877399e-01
5.050000000000000044e-01 3.528086727051550575e+00 1.678971521299110758e-01 5.475392523716235971e-01
5.150000000000000133e-01 3.018568239953892451e+00 3.238702462311280339e-01 4.798009982780884197e-01
5.250000000000000222e-01 2.309462296761904287e+00 5.916381469963563067e-01 3.635108765449323043e-01
5.350000000000000311e-01 2.701192798671717021e+00 4.349594197286663633e-01 4.315555832289146299e-01
5.450000000000000400e-01 2.061361292779013699e+00 7.052862861775829328e-01 3.141541168199528666e-01
5.550000000000000488e-01 2.757618885842441969e+00 4.142852876209632829e-01 4.405342447214288804e-01
5.650000000000000577e-01 3.930288127853566404e+00 5.994013430069577986e-02 5.944243894975828058e-01
5.749999999999999556e-01 3.663808389380908803e+00 1.301497225001313485e-01 5.639327527658682948e-01
5.849999999999999645e-01 3.929489785617640951e+00 6.014328055939666129e-02 5.943361641984097332e-01
5.949999999999999734e-01 3.233791177966904407e+00 2.549976842201622240e-01 5.097119719139904248e-01
6.049999999999999822e-01 4.045793841344365482e+00 3.097508871894638638e-02 6.070037489618127502e-01
6.149999999999999911e-01 3.184001074944001974e+00 2.705142668797959615e-01 5.029732056869158363e-01
6.250000000000000000e-01 2.458502435622496929e+00 5.291004739060221063e-01 3.906706428791339447e-01
6.350000000000000089e-01 2.168657119321660609e+00 6.545447354997260270e-01 3.361908922825603274e-01
6.450000000000000178e-01 2.341208821074966195e+00 5.779854862841126151e-01 3.694401517555570558e-01
6.550000000000000266e-01 2.662412034939209526e+00 4.494203805006414809e-01 4.252752677626264743e-01
6.650000000000000355e-01 2.483572326092764460e+00 5.189548946821310738e-01 3.950768119517821253e-01
6.750000000000000444e-01 1.816810388082526595e+00 8.315704428861404596e-01 2.593096044096208086e-01
6.850000000000000533e-01 7.944104027564441450e-01 1.658807943695496334e+00 -9.995507741531924062e-02
6.950000000000000622e-01 1.032712930402589491e+00 1.396463619886112228e+00 1.397961477373614592e-02
7.050000000000000711e-01 4.376153748109582464e-01 2.255067766567151466e+00 -3.589074282690895012e-01
7.149999999999999689e-01 1.781873982358108122e-01 3.153572355886665957e+00 -7.491230133753020715e-01
