# created by program: /scratch/aporutho/miniconda3/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Wed Nov 22 20:36:30 2023
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_972_lipid_systems/WE_runs/Analysis/data/multi_west/pdist.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000104e-03 0.000000000000000000e+00 inf -inf
1.499999999999999944e-02 0.000000000000000000e+00 inf -inf
2.500000000000000139e-02 0.000000000000000000e+00 inf -inf
3.500000000000000333e-02 0.000000000000000000e+00 inf -inf
4.499999999999999833e-02 0.000000000000000000e+00 inf -inf
5.500000000000000028e-02 9.942245351438928902e-03 5.762433546600254530e+00 -2.002515523689346821e+00
6.500000000000000222e-02 0.000000000000000000e+00 inf -inf
7.500000000000001110e-02 0.000000000000000000e+00 inf -inf
8.499999999999999223e-02 4.119895153727868263e-03 6.643398717332814840e+00 -2.385113836087453976e+00
9.500000000000000111e-02 2.519403885118252483e-03 7.135204112230505658e+00 -2.598702205261770981e+00
1.050000000000000100e-01 0.000000000000000000e+00 inf -inf
1.149999999999999911e-01 1.097567765483583972e-02 5.663544729875726880e+00 -1.959568656263942499e+00
1.250000000000000000e-01 4.485464829835762723e-02 4.255799208122666322e+00 -1.348192544242573954e+00
1.350000000000000089e-01 2.251842144849267036e-02 4.944892726969079888e+00 -1.647462056992865964e+00
1.450000000000000178e-01 8.541099845372580879e-02 3.611751552229659268e+00 -1.068486201205516739e+00
1.549999999999999989e-01 1.336226873474428423e-01 3.164206370085735465e+00 -8.741197981980249887e-01
1.650000000000000078e-01 1.794542291492281783e-01 2.869306247645587504e+00 -7.460463023096752799e-01
1.749999999999999889e-01 4.922150626091253284e-02 4.162895785132368687e+00 -1.307845100287964302e+00
1.849999999999999978e-01 3.785032587366481960e-01 2.123001749797642557e+00 -4.219303770747355187e-01
1.950000000000000067e-01 5.037299808445397931e-01 1.837186060033887181e+00 -2.978022001689649145e-01
2.050000000000000155e-01 2.802502348005197486e-01 2.423543532468992012e+00 -5.524540148702690168e-01
2.149999999999999967e-01 2.654356595978571431e-01 2.477853957663668893e+00 -5.760407328421364159e-01
2.250000000000000056e-01 4.527474921461693280e-01 1.943891874656057173e+00 -3.441439466463646624e-01
2.349999999999999867e-01 7.238412859642870956e-01 1.474654282173631703e+00 -1.403566495296803551e-01
2.449999999999999956e-01 6.924475797135041244e-01 1.518993894214433205e+00 -1.596130983687314986e-01
2.550000000000000044e-01 1.082962045890334624e+00 1.071771231205200126e+00 3.461323635825595130e-02
2.650000000000000133e-01 1.007123964077062173e+00 1.144372444743509964e+00 3.082929939088335618e-03
2.750000000000000222e-01 8.699686342043512211e-01 1.290769273886096302e+00 -6.049640512567003303e-02
2.850000000000000311e-01 1.287440257778252661e+00 8.988152025104680920e-01 1.097270852322786011e-01
2.949999999999999845e-01 1.058176737267235712e+00 1.094923785322187371e+00 2.455820986328195385e-02
3.049999999999999933e-01 1.290716959024632349e+00 8.962733070905006816e-01 1.108310163867455567e-01
3.150000000000000022e-01 1.426034744917362040e+00 7.965734662690318046e-01 1.541301071021420610e-01
3.250000000000000111e-01 1.011112271701024357e+00 1.140420169241895598e+00 4.799381380400834229e-03
3.350000000000000200e-01 1.702293577099449839e+00 6.194946485047798657e-01 2.310344605191082257e-01
3.450000000000000289e-01 8.042782603388400897e-01 1.369281127995406244e+00 -9.459367012933650454e-02
3.549999999999999822e-01 1.201499546101367777e+00 9.679007548463240962e-01 7.972361107357803234e-02
3.649999999999999911e-01 2.109558247744922177e+00 4.049925889534831125e-01 3.241915213391191042e-01
3.750000000000000000e-01 1.663601652158407607e+00 6.424862312554836530e-01 2.210493430002555826e-01
3.850000000000000089e-01 1.723155058667880546e+00 6.073142063443425220e-01 2.363243593365278727e-01
3.950000000000000178e-01 8.975541545522819353e-01 1.259552974370028444e+00 -4.693933850040265393e-02
4.050000000000000266e-01 1.016860440757024975e+00 1.134751272008252432e+00 7.261352167448708976e-03
4.150000000000000355e-01 1.267166703087032609e+00 9.146876875041805022e-01 1.028337525854170903e-01
4.249999999999999889e-01 8.786391860844645629e-01 1.280852101102102569e+00 -5.618943170950049110e-02
4.349999999999999978e-01 1.542631873095372974e+00 7.179811870282959418e-01 1.882623002965931880e-01
4.450000000000000067e-01 1.378692421281424441e+00 8.303356240870534144e-01 1.394673882646285668e-01
4.550000000000000155e-01 1.226819219164028141e+00 9.470463340348266312e-01 8.878057095529968967e-02
4.650000000000000244e-01 1.745684884639446155e+00 5.943241905772539413e-01 2.419658515040106761e-01
4.749999999999999778e-01 1.802800800053743435e+00 5.621296976457709205e-01 2.559477421318270274e-01
4.849999999999999867e-01 1.792928942588009278e+00 5.676205898847557219e-01 2.535630779317105121e-01
4.949999999999999956e-01 1.663021831560147490e+00 6.428348253220916853e-01 2.208979505207034899e-01
5.050000000000000044e-01 1.481853121932585449e+00 7.581777393093299677e-01 1.708051594494044978e-01
5.150000000000000133e-01 2.045351905263662395e+00 4.359012977599128202e-01 3.107680396617322760e-01
5.250000000000000222e-01 1.875927153157366689e+00 5.223681343734773996e-01 2.732159696528310699e-01
5.350000000000000311e-01 1.474557703901662853e+00 7.631130702013289024e-01 1.686617724766427406e-01
5.450000000000000400e-01 2.014663371288243798e+00 4.510190332170753713e-01 3.042024905738134333e-01
5.550000000000000488e-01 1.500910632407447487e+00 7.453991410877405244e-01 1.763548341434995337e-01
5.650000000000000577e-01 6.662040881763366951e-01 1.557630369945289139e+00 -1.763927065788311321e-01
5.749999999999999556e-01 1.213078543998425740e+00 9.583097735447901888e-01 8.388892132887144915e-02
5.849999999999999645e-01 1.561479732083238536e+00 7.058372353810241639e-01 1.935363514855031886e-01
5.949999999999999734e-01 8.294583997862087221e-01 1.338453474824162548e+00 -8.120539046703806330e-02
6.049999999999999822e-01 1.222560270077831079e+00 9.505239114351857754e-01 8.727027827993225073e-02
6.149999999999999911e-01 2.071371414004938849e+00 4.232602465124798430e-01 3.162579784639485969e-01
6.250000000000000000e-01 2.160755546448296815e+00 3.810132027078342309e-01 3.346056364650311643e-01
