# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0001
# created at:         Mon Apr 22 14:31:12 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_972_lipid_systems/WE_runs/Analysis/data/multi_west_aux/clucountchol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e-01 3.830271167562305829e-04 7.146197559698883595e+00 -3.416770478666576683e+00
1.500000000000000000e+00 1.536379675654788932e-02 3.454534186475715529e+00 -1.813501446631410108e+00
2.500000000000000000e+00 4.861649979907176622e-01 0.000000000000000000e+00 -3.132163118988676165e-01
3.500000000000000000e+00 3.608683077058492117e-01 2.980349751423011506e-01 -4.426512570173418704e-01
4.500000000000000000e+00 1.200351068413912092e-01 1.398763811314049033e+00 -9.206917166385205631e-01
5.500000000000000000e+00 1.718476358873775867e-02 3.342524914952130111e+00 -1.764856438086713997e+00
6.500000000000000000e+00 0.000000000000000000e+00 inf -inf
7.500000000000000000e+00 0.000000000000000000e+00 inf -inf
8.500000000000000000e+00 0.000000000000000000e+00 inf -inf
9.500000000000000000e+00 0.000000000000000000e+00 inf -inf
1.050000000000000000e+01 0.000000000000000000e+00 inf -inf
1.150000000000000000e+01 0.000000000000000000e+00 inf -inf
1.250000000000000000e+01 0.000000000000000000e+00 inf -inf
1.350000000000000000e+01 0.000000000000000000e+00 inf -inf
1.450000000000000000e+01 0.000000000000000000e+00 inf -inf
1.550000000000000000e+01 0.000000000000000000e+00 inf -inf
1.650000000000000000e+01 0.000000000000000000e+00 inf -inf
1.750000000000000000e+01 0.000000000000000000e+00 inf -inf
1.850000000000000000e+01 0.000000000000000000e+00 inf -inf
1.950000000000000000e+01 0.000000000000000000e+00 inf -inf
2.050000000000000000e+01 0.000000000000000000e+00 inf -inf
2.150000000000000000e+01 0.000000000000000000e+00 inf -inf
2.250000000000000000e+01 0.000000000000000000e+00 inf -inf
2.350000000000000000e+01 0.000000000000000000e+00 inf -inf
2.450000000000000000e+01 0.000000000000000000e+00 inf -inf
2.550000000000000000e+01 0.000000000000000000e+00 inf -inf
2.650000000000000000e+01 0.000000000000000000e+00 inf -inf
2.750000000000000000e+01 0.000000000000000000e+00 inf -inf
2.850000000000000000e+01 0.000000000000000000e+00 inf -inf
2.950000000000000000e+01 0.000000000000000000e+00 inf -inf
3.050000000000000000e+01 0.000000000000000000e+00 inf -inf
3.150000000000000000e+01 0.000000000000000000e+00 inf -inf
3.250000000000000000e+01 0.000000000000000000e+00 inf -inf
3.350000000000000000e+01 0.000000000000000000e+00 inf -inf
3.450000000000000000e+01 0.000000000000000000e+00 inf -inf
3.550000000000000000e+01 0.000000000000000000e+00 inf -inf
3.650000000000000000e+01 0.000000000000000000e+00 inf -inf
3.750000000000000000e+01 0.000000000000000000e+00 inf -inf
3.850000000000000000e+01 0.000000000000000000e+00 inf -inf
3.950000000000000000e+01 0.000000000000000000e+00 inf -inf
4.050000000000000000e+01 0.000000000000000000e+00 inf -inf
4.150000000000000000e+01 0.000000000000000000e+00 inf -inf
4.250000000000000000e+01 0.000000000000000000e+00 inf -inf
4.350000000000000000e+01 0.000000000000000000e+00 inf -inf
4.450000000000000000e+01 0.000000000000000000e+00 inf -inf
4.550000000000000000e+01 0.000000000000000000e+00 inf -inf
4.650000000000000000e+01 0.000000000000000000e+00 inf -inf
4.750000000000000000e+01 0.000000000000000000e+00 inf -inf
4.850000000000000000e+01 0.000000000000000000e+00 inf -inf
4.950000000000000000e+01 0.000000000000000000e+00 inf -inf
