# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0006
# created at:         Mon Apr 22 14:31:27 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_7776_lipid_systems/WE_runs/Analysis/data/multi_west_aux/clucountdipc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e-01 0.000000000000000000e+00 inf -inf
1.500000000000000000e+00 0.000000000000000000e+00 inf -inf
2.500000000000000000e+00 0.000000000000000000e+00 inf -inf
3.500000000000000000e+00 0.000000000000000000e+00 inf -inf
4.500000000000000000e+00 1.194976356236965916e-04 7.116086953367641854e+00 -3.922640687567225282e+00
5.500000000000000000e+00 3.038651825785958427e-05 8.485384507281025890e+00 -4.517319059315428653e+00
6.500000000000000000e+00 2.534131231383291230e-03 4.061777391194245190e+00 -2.596170898690982387e+00
7.500000000000000000e+00 3.461569203512811482e-03 3.749906246701412371e+00 -2.460726981572893379e+00
8.500000000000000000e+00 8.633691072486647522e-03 2.835956143839110766e+00 -2.063803495164886481e+00
9.500000000000000000e+00 2.128731847452489806e-02 1.933516741360197244e+00 -1.671879042416226424e+00
1.050000000000000000e+01 4.008579928501178335e-02 1.300606120936131926e+00 -1.397009452428091381e+00
1.150000000000000000e+01 7.848569784573035391e-02 6.287118448443993479e-01 -1.105209475899071814e+00
1.250000000000000000e+01 1.110114547649336675e-01 2.819948679171031536e-01 -9.546322060373699792e-01
1.350000000000000000e+01 1.471758690814266857e-01 0.000000000000000000e+00 -8.321633909759358350e-01
1.450000000000000000e+01 1.374689931422223566e-01 6.822987272909153411e-02 -8.617952482031414618e-01
1.550000000000000000e+01 1.240766630821371480e-01 1.707286347563434781e-01 -9.063098949534914572e-01
1.650000000000000000e+01 1.286525459755906431e-01 1.345129315151161187e-01 -8.905816148775808072e-01
1.750000000000000000e+01 8.285855799102295749e-02 5.744932264442663694e-01 -1.081662629111476148e+00
1.850000000000000000e+01 7.059038490195312932e-02 7.347343159517030209e-01 -1.151254450058720735e+00
1.950000000000000000e+01 2.871823210578385716e-02 1.634096073905506596e+00 -1.541842298772865716e+00
2.050000000000000000e+01 1.350076836160918684e-02 2.388881660486068981e+00 -1.869641514044912967e+00
2.150000000000000000e+01 1.246632247952662214e-03 4.771182546202486385e+00 -2.904261642944782285e+00
2.250000000000000000e+01 6.180707883633802433e-05 7.775365636786444767e+00 -4.208961781812452507e+00
2.350000000000000000e+01 0.000000000000000000e+00 inf -inf
2.450000000000000000e+01 0.000000000000000000e+00 inf -inf
2.550000000000000000e+01 0.000000000000000000e+00 inf -inf
2.650000000000000000e+01 0.000000000000000000e+00 inf -inf
2.750000000000000000e+01 0.000000000000000000e+00 inf -inf
2.850000000000000000e+01 0.000000000000000000e+00 inf -inf
2.950000000000000000e+01 0.000000000000000000e+00 inf -inf
3.050000000000000000e+01 0.000000000000000000e+00 inf -inf
3.150000000000000000e+01 0.000000000000000000e+00 inf -inf
3.250000000000000000e+01 0.000000000000000000e+00 inf -inf
3.350000000000000000e+01 0.000000000000000000e+00 inf -inf
3.450000000000000000e+01 0.000000000000000000e+00 inf -inf
3.550000000000000000e+01 0.000000000000000000e+00 inf -inf
3.650000000000000000e+01 0.000000000000000000e+00 inf -inf
3.750000000000000000e+01 0.000000000000000000e+00 inf -inf
3.850000000000000000e+01 0.000000000000000000e+00 inf -inf
3.950000000000000000e+01 0.000000000000000000e+00 inf -inf
4.050000000000000000e+01 0.000000000000000000e+00 inf -inf
4.150000000000000000e+01 0.000000000000000000e+00 inf -inf
4.250000000000000000e+01 0.000000000000000000e+00 inf -inf
4.350000000000000000e+01 0.000000000000000000e+00 inf -inf
4.450000000000000000e+01 0.000000000000000000e+00 inf -inf
4.550000000000000000e+01 0.000000000000000000e+00 inf -inf
4.650000000000000000e+01 0.000000000000000000e+00 inf -inf
4.750000000000000000e+01 0.000000000000000000e+00 inf -inf
4.850000000000000000e+01 0.000000000000000000e+00 inf -inf
4.950000000000000000e+01 0.000000000000000000e+00 inf -inf
