# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Apr 22 14:31:04 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_1944_lipid_systems/WE_runs/Analysis/data/multi_west_aux/clucountdppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e-01 0.000000000000000000e+00 inf -inf
1.500000000000000000e+00 0.000000000000000000e+00 inf -inf
2.500000000000000000e+00 6.180285478935373250e-02 1.128308977348710940e+00 -1.208991463574159875e+00
3.500000000000000000e+00 1.077696889521373158e-01 5.722620943627392265e-01 -9.675033706138492784e-01
4.500000000000000000e+00 1.350320755016101715e-01 3.467461882228133341e-01 -8.695630569958677780e-01
5.500000000000000000e+00 1.765610926509225964e-01 7.859158426557377730e-02 -7.531049922002867048e-01
6.500000000000000000e+00 1.909971554011317962e-01 0.000000000000000000e+00 -7.189731008297135517e-01
7.500000000000000000e+00 1.277595263621158217e-01 4.021087380951069434e-01 -8.936067069094983939e-01
8.500000000000000000e+00 1.052487635936367322e-01 5.959318095833103790e-01 -9.777829973223646221e-01
9.500000000000000000e+00 6.614108522671743873e-02 1.060468419304744447e+00 -1.179528683566428038e+00
1.050000000000000000e+01 2.000497409692092790e-02 2.256277587269819751e+00 -1.698862006622978926e+00
1.150000000000000000e+01 8.343922859156712932e-03 3.130725062159705807e+00 -2.078629719681889032e+00
1.250000000000000000e+01 3.388605662968304649e-04 6.334425099819218197e+00 -3.469978967710654949e+00
1.350000000000000000e+01 0.000000000000000000e+00 inf -inf
1.450000000000000000e+01 0.000000000000000000e+00 inf -inf
1.550000000000000000e+01 0.000000000000000000e+00 inf -inf
1.650000000000000000e+01 0.000000000000000000e+00 inf -inf
1.750000000000000000e+01 0.000000000000000000e+00 inf -inf
1.850000000000000000e+01 0.000000000000000000e+00 inf -inf
1.950000000000000000e+01 0.000000000000000000e+00 inf -inf
2.050000000000000000e+01 0.000000000000000000e+00 inf -inf
2.150000000000000000e+01 0.000000000000000000e+00 inf -inf
2.250000000000000000e+01 0.000000000000000000e+00 inf -inf
2.350000000000000000e+01 0.000000000000000000e+00 inf -inf
2.450000000000000000e+01 0.000000000000000000e+00 inf -inf
2.550000000000000000e+01 0.000000000000000000e+00 inf -inf
2.650000000000000000e+01 0.000000000000000000e+00 inf -inf
2.750000000000000000e+01 0.000000000000000000e+00 inf -inf
2.850000000000000000e+01 0.000000000000000000e+00 inf -inf
2.950000000000000000e+01 0.000000000000000000e+00 inf -inf
3.050000000000000000e+01 0.000000000000000000e+00 inf -inf
3.150000000000000000e+01 0.000000000000000000e+00 inf -inf
3.250000000000000000e+01 0.000000000000000000e+00 inf -inf
3.350000000000000000e+01 0.000000000000000000e+00 inf -inf
3.450000000000000000e+01 0.000000000000000000e+00 inf -inf
3.550000000000000000e+01 0.000000000000000000e+00 inf -inf
3.650000000000000000e+01 0.000000000000000000e+00 inf -inf
3.750000000000000000e+01 0.000000000000000000e+00 inf -inf
3.850000000000000000e+01 0.000000000000000000e+00 inf -inf
3.950000000000000000e+01 0.000000000000000000e+00 inf -inf
4.050000000000000000e+01 0.000000000000000000e+00 inf -inf
4.150000000000000000e+01 0.000000000000000000e+00 inf -inf
4.250000000000000000e+01 0.000000000000000000e+00 inf -inf
4.350000000000000000e+01 0.000000000000000000e+00 inf -inf
4.450000000000000000e+01 0.000000000000000000e+00 inf -inf
4.550000000000000000e+01 0.000000000000000000e+00 inf -inf
4.650000000000000000e+01 0.000000000000000000e+00 inf -inf
4.750000000000000000e+01 0.000000000000000000e+00 inf -inf
4.850000000000000000e+01 0.000000000000000000e+00 inf -inf
4.950000000000000000e+01 0.000000000000000000e+00 inf -inf
