# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0006
# created at:         Mon Apr 22 14:30:24 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_648_lipid_systems/WE_runs/Analysis/data/multi_west_aux/clucountdppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e-01 3.477012855694649931e-03 5.190717647002893287e+00 -2.458793703579920553e+00
1.500000000000000000e+00 3.274438513626412584e-02 2.948159696212549363e+00 -1.484863160203410359e+00
2.500000000000000000e+00 6.244624485755393417e-01 0.000000000000000000e+00 -2.044936723687327818e-01
3.500000000000000000e+00 2.800632243006374589e-01 8.018758186205552363e-01 -5.527439155672928539e-01
4.500000000000000000e+00 5.677155838656423870e-02 2.397855729686539483e+00 -1.245869184171692456e+00
5.500000000000000000e+00 2.481370745300183651e-03 5.528080070011657909e+00 -2.605308342294137880e+00
6.500000000000000000e+00 0.000000000000000000e+00 inf -inf
7.500000000000000000e+00 0.000000000000000000e+00 inf -inf
8.500000000000000000e+00 0.000000000000000000e+00 inf -inf
9.500000000000000000e+00 0.000000000000000000e+00 inf -inf
1.050000000000000000e+01 0.000000000000000000e+00 inf -inf
1.150000000000000000e+01 0.000000000000000000e+00 inf -inf
1.250000000000000000e+01 0.000000000000000000e+00 inf -inf
1.350000000000000000e+01 0.000000000000000000e+00 inf -inf
1.450000000000000000e+01 0.000000000000000000e+00 inf -inf
1.550000000000000000e+01 0.000000000000000000e+00 inf -inf
1.650000000000000000e+01 0.000000000000000000e+00 inf -inf
1.750000000000000000e+01 0.000000000000000000e+00 inf -inf
1.850000000000000000e+01 0.000000000000000000e+00 inf -inf
1.950000000000000000e+01 0.000000000000000000e+00 inf -inf
2.050000000000000000e+01 0.000000000000000000e+00 inf -inf
2.150000000000000000e+01 0.000000000000000000e+00 inf -inf
2.250000000000000000e+01 0.000000000000000000e+00 inf -inf
2.350000000000000000e+01 0.000000000000000000e+00 inf -inf
2.450000000000000000e+01 0.000000000000000000e+00 inf -inf
2.550000000000000000e+01 0.000000000000000000e+00 inf -inf
2.650000000000000000e+01 0.000000000000000000e+00 inf -inf
2.750000000000000000e+01 0.000000000000000000e+00 inf -inf
2.850000000000000000e+01 0.000000000000000000e+00 inf -inf
2.950000000000000000e+01 0.000000000000000000e+00 inf -inf
3.050000000000000000e+01 0.000000000000000000e+00 inf -inf
3.150000000000000000e+01 0.000000000000000000e+00 inf -inf
3.250000000000000000e+01 0.000000000000000000e+00 inf -inf
3.350000000000000000e+01 0.000000000000000000e+00 inf -inf
3.450000000000000000e+01 0.000000000000000000e+00 inf -inf
3.550000000000000000e+01 0.000000000000000000e+00 inf -inf
3.650000000000000000e+01 0.000000000000000000e+00 inf -inf
3.750000000000000000e+01 0.000000000000000000e+00 inf -inf
3.850000000000000000e+01 0.000000000000000000e+00 inf -inf
3.950000000000000000e+01 0.000000000000000000e+00 inf -inf
4.050000000000000000e+01 0.000000000000000000e+00 inf -inf
4.150000000000000000e+01 0.000000000000000000e+00 inf -inf
4.250000000000000000e+01 0.000000000000000000e+00 inf -inf
4.350000000000000000e+01 0.000000000000000000e+00 inf -inf
4.450000000000000000e+01 0.000000000000000000e+00 inf -inf
4.550000000000000000e+01 0.000000000000000000e+00 inf -inf
4.650000000000000000e+01 0.000000000000000000e+00 inf -inf
4.750000000000000000e+01 0.000000000000000000e+00 inf -inf
4.850000000000000000e+01 0.000000000000000000e+00 inf -inf
4.950000000000000000e+01 0.000000000000000000e+00 inf -inf
