# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Apr 22 14:31:15 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_1944_lipid_systems/WE_runs/Analysis/data/multi_west_aux/clusbychol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.250000000000000069e-02 0.000000000000000000e+00 inf -inf
3.750000000000000555e-02 0.000000000000000000e+00 inf -inf
6.250000000000000000e-02 0.000000000000000000e+00 inf -inf
8.750000000000000833e-02 0.000000000000000000e+00 inf -inf
1.125000000000000028e-01 0.000000000000000000e+00 inf -inf
1.375000000000000111e-01 0.000000000000000000e+00 inf -inf
1.625000000000000333e-01 0.000000000000000000e+00 inf -inf
1.875000000000000000e-01 1.238943889688308431e-03 7.981615837687534132e+00 -2.906948361864893027e+00
2.125000000000000222e-01 7.978793449026416393e-03 6.119087949369645507e+00 -2.098062777577518023e+00
2.374999999999999889e-01 2.788634231175816242e-02 4.867738106440278045e+00 -1.554608445862792898e+00
2.625000000000000111e-01 7.328806056137346370e-02 3.901477441475797114e+00 -1.134966770988552032e+00
2.875000000000000333e-01 2.532031516753210920e-01 2.661683014968668104e+00 -5.965308928620993711e-01
3.125000000000000000e-01 3.384624978726913369e-01 2.371461855471448388e+00 -4.704894447608931607e-01
3.375000000000000222e-01 6.488618245869323120e-01 1.720655363604407517e+00 -1.878477765562237556e-01
3.625000000000000444e-01 5.949942342245719828e-01 1.807323437416300305e+00 -2.254872427699124993e-01
3.875000000000000111e-01 1.856249588736914591e+00 6.695617715409930559e-01 2.686363704407847552e-01
4.125000000000000333e-01 1.412977004984953933e+00 9.424210438799998091e-01 1.501350941278175033e-01
4.375000000000000000e-01 1.606677010648768666e+00 8.139517960171618327e-01 2.059285795689091425e-01
4.625000000000000222e-01 2.242131308727664862e+00 4.806929829438809643e-01 3.506610431322623178e-01
4.875000000000000444e-01 2.899321388157270807e+00 2.236431680284691748e-01 4.622963593242778169e-01
5.124999999999999556e-01 2.867607478151522393e+00 2.346418227523365818e-01 4.575197042693430749e-01
5.375000000000000888e-01 3.625962874378534373e+00 0.000000000000000000e+00 5.594233531144037208e-01
5.625000000000000000e-01 3.402563867963370736e+00 6.359064729367536195e-02 5.318062858941046134e-01
5.875000000000001332e-01 3.229901491936172597e+00 1.156682346370521142e-01 5.091892770800414691e-01
6.125000000000000444e-01 2.457499948175273730e+00 3.889753216031791583e-01 3.904935173456003383e-01
6.374999999999999556e-01 2.231180850390447556e+00 4.855888989100503039e-01 3.485347738442929333e-01
6.625000000000000888e-01 2.685889850566197889e+00 3.001077850182288786e-01 4.290881981047796057e-01
6.875000000000000000e-01 2.712201431949819774e+00 2.903592319162415780e-01 4.333219409235135045e-01
7.125000000000001332e-01 1.585385631978311505e+00 8.272921948849096818e-01 2.001349179542578627e-01
7.375000000000000444e-01 1.277722746342731641e+00 1.043040484528042988e+00 1.064366262821805909e-01
7.624999999999999556e-01 9.726373404149000201e-01 1.315863862937669104e+00 -1.204906149532282075e-02
7.875000000000000888e-01 6.024911290954456655e-01 1.794802210772725282e+00 -2.200493431319478776e-01
8.125000000000000000e-01 3.653361531657671191e-01 2.295057255206608193e+00 -4.373073484738493333e-01
8.375000000000001332e-01 1.778629771910595139e-02 5.317446782740812061e+00 -1.749914442444130414e+00
8.625000000000000444e-01 2.093662303143706792e-03 7.456960321887764032e+00 -2.679093366452948821e+00
8.874999999999999556e-01 4.690956423146797906e-04 8.952823755686198481e+00 -3.328738601432459365e+00
9.125000000000000888e-01 0.000000000000000000e+00 inf -inf
9.375000000000000000e-01 0.000000000000000000e+00 inf -inf
9.625000000000001332e-01 0.000000000000000000e+00 inf -inf
9.875000000000000444e-01 0.000000000000000000e+00 inf -inf
