# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0006
# created at:         Mon Apr 22 14:31:33 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_7776_lipid_systems/WE_runs/Analysis/data/multi_west_aux/clusbychol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.250000000000000069e-02 0.000000000000000000e+00 inf -inf
3.750000000000000555e-02 0.000000000000000000e+00 inf -inf
6.250000000000000000e-02 0.000000000000000000e+00 inf -inf
8.750000000000000833e-02 0.000000000000000000e+00 inf -inf
1.125000000000000028e-01 0.000000000000000000e+00 inf -inf
1.375000000000000111e-01 0.000000000000000000e+00 inf -inf
1.625000000000000333e-01 0.000000000000000000e+00 inf -inf
1.875000000000000000e-01 0.000000000000000000e+00 inf -inf
2.125000000000000222e-01 0.000000000000000000e+00 inf -inf
2.374999999999999889e-01 0.000000000000000000e+00 inf -inf
2.625000000000000111e-01 0.000000000000000000e+00 inf -inf
2.875000000000000333e-01 0.000000000000000000e+00 inf -inf
3.125000000000000000e-01 0.000000000000000000e+00 inf -inf
3.375000000000000222e-01 1.484425041299843387e-02 5.861579552248973535e+00 -1.828441727991664933e+00
3.625000000000000444e-01 2.167925948045748216e-02 5.482836145766607494e+00 -1.663955556499133071e+00
3.875000000000000111e-01 4.282377545813434994e-01 2.499513622242917510e+00 -3.683150467951102347e-01
4.125000000000000333e-01 9.366004054043920446e-01 1.716935435352997086e+00 -2.844565857096608905e-02
4.375000000000000000e-01 1.953609549782639343e+00 9.817581733048599268e-01 2.908377695572808563e-01
4.625000000000000222e-01 3.429714177718328205e+00 4.189599583726648646e-01 5.352579287273333541e-01
4.875000000000000444e-01 5.012678250289291704e+00 3.946653281171674799e-02 7.000698293670157835e-01
5.124999999999999556e-01 5.066445783975503936e+00 2.879734300126512991e-02 7.047033996280731571e-01
5.375000000000000888e-01 5.214467041272686565e+00 0.000000000000000000e+00 7.172099267869979089e-01
5.625000000000000000e-01 4.404547892005489906e+00 1.687992670323414934e-01 6.439013365655384957e-01
5.875000000000001332e-01 4.401062653029264027e+00 1.695908621501120983e-01 6.435575511739891619e-01
6.125000000000000444e-01 3.954747721992048159e+00 2.765200738889002086e-01 5.971187845615690826e-01
6.374999999999999556e-01 3.194647254515648793e+00 4.899602097051374283e-01 5.044229113598966974e-01
6.625000000000000888e-01 1.267400202744982218e+00 1.414469168090611184e+00 1.029137722629622775e-01
6.875000000000000000e-01 6.135962429269579133e-01 2.139855037915323166e+00 -2.121173082525006082e-01
7.125000000000001332e-01 8.548872310371542771e-02 4.110807691229026339e+00 -1.068091169679215025e+00
7.375000000000000444e-01 2.328367642514030935e-04 1.001660981850034737e+01 -3.632948444765635720e+00
7.624999999999999556e-01 0.000000000000000000e+00 inf -inf
7.875000000000000888e-01 0.000000000000000000e+00 inf -inf
8.125000000000000000e-01 0.000000000000000000e+00 inf -inf
8.375000000000001332e-01 0.000000000000000000e+00 inf -inf
8.625000000000000444e-01 0.000000000000000000e+00 inf -inf
8.874999999999999556e-01 0.000000000000000000e+00 inf -inf
9.125000000000000888e-01 0.000000000000000000e+00 inf -inf
9.375000000000000000e-01 0.000000000000000000e+00 inf -inf
9.625000000000001332e-01 0.000000000000000000e+00 inf -inf
9.875000000000000444e-01 0.000000000000000000e+00 inf -inf
