# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Apr 22 14:31:21 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_1944_lipid_systems/WE_runs/Analysis/data/multi_west_aux/clusbydipc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.250000000000000069e-02 4.575027858789028345e-02 4.034072346397818976e+00 -1.339606257033268299e+00
3.750000000000000555e-02 1.576297610414233719e-01 2.797021228762354816e+00 -8.023617828119360418e-01
6.250000000000000000e-02 5.233633308572880338e-01 1.596994299312624932e+00 -2.811967092166154369e-01
8.750000000000000833e-02 4.519523260860326408e-01 1.743693526445055930e+00 -3.449073740597020654e-01
1.125000000000000028e-01 7.604371338844937434e-01 1.223376783359826359e+00 -1.189366836959149520e-01
1.375000000000000111e-01 8.004668003331244508e-01 1.172075169539443795e+00 -9.665667590099118189e-02
1.625000000000000333e-01 9.710571547013574500e-01 9.788848992041797592e-01 -1.275520753698850852e-02
1.875000000000000000e-01 9.265948063155676762e-01 1.025753859585437411e+00 -3.311013840311086143e-02
2.125000000000000222e-01 1.006724141748686963e+00 9.428133129302842530e-01 2.910483335261366145e-03
2.374999999999999889e-01 1.016007338849482133e+00 9.336343760642129563e-01 6.896844965934476566e-03
2.625000000000000111e-01 1.089143803226743090e+00 8.641230625253064623e-01 3.708522486572832233e-02
2.875000000000000333e-01 1.120891807485905334e+00 8.353903233247890192e-01 4.956369495047831947e-02
3.125000000000000000e-01 1.069702490777290071e+00 8.821343846621390039e-01 2.926300704992010338e-02
3.375000000000000222e-01 1.553492088011317218e+00 5.090095916419549171e-01 1.913090457198790006e-01
3.625000000000000444e-01 1.289094023752287876e+00 6.955752839998610160e-01 1.102845950163806876e-01
3.875000000000000111e-01 2.393696529579100396e+00 7.667611228677895241e-02 3.790690901458654283e-01
4.125000000000000333e-01 2.424263227984283287e+00 6.398729375736766922e-02 3.845797740150604382e-01
4.375000000000000000e-01 2.584455761020473030e+00 0.000000000000000000e+00 4.123691026058076137e-01
4.625000000000000222e-01 1.930197732282896927e+00 2.918924988424639322e-01 2.856018010495741666e-01
4.875000000000000444e-01 1.874374978315655138e+00 3.212396895191684809e-01 2.728564780793188427e-01
5.124999999999999556e-01 1.582096371182772909e+00 4.907641636724275891e-01 1.992329344070079833e-01
5.375000000000000888e-01 1.912203221442155154e+00 3.012588521252129725e-01 2.815340455033198963e-01
5.625000000000000000e-01 1.110141629712003919e+00 8.450273469515480196e-01 4.537838876740560995e-02
5.875000000000001332e-01 7.503204052784243627e-01 1.236769905112292012e+00 -1.247532425684692164e-01
6.125000000000000444e-01 1.346591144965321618e+00 6.519386272103799840e-01 1.292357542687584127e-01
6.374999999999999556e-01 8.601682097166785113e-01 1.100142264637993250e+00 -6.541661223501979427e-02
6.625000000000000888e-01 1.562364532961997288e+00 5.033145485059341562e-01 1.937823715280538039e-01
6.875000000000000000e-01 9.731364920487114434e-01 9.767458755080058452e-01 -1.182624134907992418e-02
7.125000000000001332e-01 1.580211036934621616e+00 4.919565426718173207e-01 1.987150907872357042e-01
7.375000000000000444e-01 1.259264388954022706e+00 7.189872162867936289e-01 1.001169220134732751e-01
7.624999999999999556e-01 6.659461007589942971e-01 1.356061489979504708e+00 -1.765609196137931103e-01
7.875000000000000888e-01 9.836458991267496010e-01 9.660042537770229254e-01 -7.161214304621982968e-03
8.125000000000000000e-01 8.109603929024103985e-01 1.159051011889081551e+00 -9.100035610200088443e-02
8.375000000000001332e-01 5.634541102495203013e-01 1.523184334291681985e+00 -2.491414486985479571e-01
8.625000000000000444e-01 5.020054892431379673e-02 3.941244266068415492e+00 -1.299291533980536872e+00
8.874999999999999556e-01 0.000000000000000000e+00 inf -inf
9.125000000000000888e-01 0.000000000000000000e+00 inf -inf
9.375000000000000000e-01 0.000000000000000000e+00 inf -inf
9.625000000000001332e-01 0.000000000000000000e+00 inf -inf
9.875000000000000444e-01 0.000000000000000000e+00 inf -inf
