# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0006
# created at:         Mon Apr 22 14:31:39 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_7776_lipid_systems/WE_runs/Analysis/data/multi_west_aux/clusbydipc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.250000000000000069e-02 0.000000000000000000e+00 inf -inf
3.750000000000000555e-02 0.000000000000000000e+00 inf -inf
6.250000000000000000e-02 0.000000000000000000e+00 inf -inf
8.750000000000000833e-02 5.995366155262247740e-03 6.247655920262134899e+00 -2.222184288069065428e+00
1.125000000000000028e-01 1.190751299891719545e-01 3.258888145306563899e+00 -9.241789357156011686e-01
1.375000000000000111e-01 3.241923700219818127e-01 2.257305709413452099e+00 -4.891972106360049644e-01
1.625000000000000333e-01 8.922381141442933261e-01 1.244909742586133072e+00 -4.951922874179281314e-02
1.875000000000000000e-01 1.929353429817600052e+00 4.737025683376657748e-01 2.854117914385160826e-01
2.125000000000000222e-01 2.140673312597410227e+00 3.697670930663791156e-01 3.305503948228277755e-01
2.374999999999999889e-01 2.034693517724254441e+00 4.205423026572204792e-01 3.084990014800443325e-01
2.625000000000000111e-01 1.643045152170228729e+00 6.343361844511927750e-01 2.156494983522460329e-01
2.875000000000000333e-01 1.630680387784095409e+00 6.418901611253315931e-01 2.123688479662416972e-01
3.125000000000000000e-01 1.561516533089971848e+00 6.852300190299018823e-01 1.935465868318157756e-01
3.375000000000000222e-01 2.804451858410375031e+00 9.967940068671254927e-02 4.478479892532999385e-01
3.625000000000000444e-01 3.098405129251495804e+00 0.000000000000000000e+00 4.911382029309623864e-01
3.875000000000000111e-01 1.925209332679845176e+00 4.758527985919280834e-01 2.844779583042685855e-01
4.125000000000000333e-01 1.407103273047520364e+00 7.893543297648868418e-01 1.483259732476322479e-01
4.375000000000000000e-01 1.696745680872109974e+00 6.021753936001467133e-01 2.296167523524999532e-01
4.625000000000000222e-01 2.530399874856582354e+00 2.025101611154001002e-01 4.031891574292056912e-01
4.875000000000000444e-01 2.497892916870103619e+00 2.154399614301675259e-01 3.975738165003912528e-01
5.124999999999999556e-01 2.508508978139520895e+00 2.111989606460400459e-01 3.994156597386852026e-01
5.375000000000000888e-01 1.681467974159888357e+00 6.112202986466226395e-01 2.256886000014765858e-01
5.625000000000000000e-01 2.486893613079283138e+00 2.198531179721994189e-01 3.956572069664115454e-01
5.875000000000001332e-01 1.605623319179790398e+00 6.573754626196164352e-01 2.056436669766655845e-01
6.125000000000000444e-01 1.676457801099982214e+00 6.142043888934644036e-01 2.243926260737718892e-01
6.374999999999999556e-01 9.372254783691269520e-01 1.195718891760268354e+00 -2.815591366799374134e-02
6.625000000000000888e-01 5.971937703967195032e-01 1.646401149392002994e+00 -2.238847312491558383e-01
6.875000000000000000e-01 2.129289106819361177e-01 2.677684426316213617e+00 -6.717653676964437937e-01
7.125000000000001332e-01 4.786431726090897842e-02 4.170272499202404504e+00 -1.319988131505525075e+00
7.375000000000000444e-01 4.164458150538872389e-03 6.612056612404290767e+00 -2.380441497868129197e+00
7.624999999999999556e-01 0.000000000000000000e+00 inf -inf
7.875000000000000888e-01 0.000000000000000000e+00 inf -inf
8.125000000000000000e-01 0.000000000000000000e+00 inf -inf
8.375000000000001332e-01 0.000000000000000000e+00 inf -inf
8.625000000000000444e-01 0.000000000000000000e+00 inf -inf
8.874999999999999556e-01 0.000000000000000000e+00 inf -inf
9.125000000000000888e-01 0.000000000000000000e+00 inf -inf
9.375000000000000000e-01 0.000000000000000000e+00 inf -inf
9.625000000000001332e-01 0.000000000000000000e+00 inf -inf
9.875000000000000444e-01 0.000000000000000000e+00 inf -inf
