# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Apr 22 14:31:18 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_1944_lipid_systems/WE_runs/Analysis/data/multi_west_aux/clusbydppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.250000000000000069e-02 0.000000000000000000e+00 inf -inf
3.750000000000000555e-02 0.000000000000000000e+00 inf -inf
6.250000000000000000e-02 0.000000000000000000e+00 inf -inf
8.750000000000000833e-02 0.000000000000000000e+00 inf -inf
1.125000000000000028e-01 0.000000000000000000e+00 inf -inf
1.375000000000000111e-01 0.000000000000000000e+00 inf -inf
1.625000000000000333e-01 6.186669318401663651e-05 1.091799994724755685e+01 -4.208543096689141727e+00
1.875000000000000000e-01 1.716142333959129213e-04 9.897732778740685688e+00 -3.765446695339553340e+00
2.125000000000000222e-01 9.716646629356123430e-03 5.861386066602901401e+00 -2.012483591209779377e+00
2.374999999999999889e-01 1.013622631327143822e-02 5.819110858129877606e+00 -1.994123701448635710e+00
2.625000000000000111e-01 7.747557219254634642e-02 3.785263939411684042e+00 -1.110835207613392939e+00
2.875000000000000333e-01 1.415876060180274731e-01 3.182307979262741782e+00 -8.489747612900302443e-01
3.125000000000000000e-01 2.968477865299611329e-01 2.442007124408388741e+00 -5.274661850785246076e-01
3.375000000000000222e-01 5.097023003672292996e-01 1.901399798055675383e+00 -2.926834063670705754e-01
3.625000000000000444e-01 7.567067753020148002e-01 1.506250801160692099e+00 -1.210723774859742002e-01
3.875000000000000111e-01 9.168471477769168931e-01 1.314285857473854291e+00 -3.770306172391203053e-02
4.125000000000000333e-01 6.115063943081727738e-01 1.719301216738648996e+00 -2.135989973386755447e-01
4.375000000000000000e-01 1.350741493227237910e+00 9.268176536803045540e-01 1.305722410965912128e-01
4.625000000000000222e-01 1.680882368517548020e+00 7.081524746966990635e-01 2.255373217135579755e-01
4.875000000000000444e-01 1.803719706328887007e+00 6.376203134512909987e-01 2.561690501391490904e-01
5.124999999999999556e-01 2.349027312840574755e+00 3.734700165457673915e-01 3.708880664783236192e-01
5.375000000000000888e-01 2.544895731791215088e+00 2.933816702515746888e-01 4.056699933386482271e-01
5.625000000000000000e-01 2.518853338145333964e+00 3.036675761653935268e-01 4.012028811589006816e-01
5.875000000000001332e-01 2.248920156716859520e+00 4.170211789233043698e-01 3.519740369772867972e-01
6.125000000000000444e-01 2.955391939395299428e+00 1.438400715202781122e-01 4.706150844826406665e-01
6.374999999999999556e-01 2.044265563242666062e+00 5.124327623774390661e-01 3.105373127735044925e-01
6.625000000000000888e-01 2.524915431235672525e+00 3.012637800016374490e-01 4.022468365684401803e-01
6.875000000000000000e-01 2.439689678158591946e+00 3.356004994537734598e-01 3.873345887837175150e-01
7.125000000000001332e-01 3.412589371395745363e+00 0.000000000000000000e+00 5.330840338204665407e-01
7.375000000000000444e-01 1.992215112917042230e+00 5.382242078438925770e-01 2.993362303271150937e-01
7.624999999999999556e-01 1.540627690711844577e+00 7.952814248340732695e-01 1.876976994548727740e-01
7.875000000000000888e-01 1.830641118885949048e+00 6.228051058998611555e-01 2.626032130269864706e-01
8.125000000000000000e-01 1.230194499945081787e+00 1.020299062668398316e+00 8.997378101252101468e-02
8.375000000000001332e-01 1.360986119467195943e+00 9.192618247458401726e-01 1.338536959090340095e-01
8.625000000000000444e-01 7.491652414553942041e-01 1.516267053289890310e+00 -1.254223805150366799e-01
8.874999999999999556e-01 9.128929180230303808e-02 3.621193133693407340e+00 -1.039580162048524770e+00
9.125000000000000888e-01 2.288974554766182417e-04 9.609707796965778925e+00 -3.640359035104426155e+00
9.375000000000000000e-01 0.000000000000000000e+00 inf -inf
9.625000000000001332e-01 0.000000000000000000e+00 inf -inf
9.875000000000000444e-01 0.000000000000000000e+00 inf -inf
