# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0001
# created at:         Mon Apr 22 14:31:19 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_972_lipid_systems/WE_runs/Analysis/data/multi_west_aux/clusbydppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.250000000000000069e-02 8.210312069318141930e-04 7.990130608538650314e+00 -3.085640335279207225e+00
3.750000000000000555e-02 0.000000000000000000e+00 inf -inf
6.250000000000000000e-02 1.749765920544791784e-02 4.930869336871582576e+00 -1.757020046293874760e+00
8.750000000000000833e-02 1.682729680532331004e-02 4.969934071491261207e+00 -1.773985644976216580e+00
1.125000000000000028e-01 4.234929545477689877e-02 4.046984664456896752e+00 -1.373153810425313370e+00
1.375000000000000111e-01 1.000107322112818858e-01 3.187658946823431094e+00 -9.999533930995473385e-01
1.625000000000000333e-01 1.101820065170962398e-01 3.090802846022727479e+00 -9.578893229831365597e-01
1.875000000000000000e-01 1.453327535128739190e-01 2.813910484083086416e+00 -8.376364981115924646e-01
2.125000000000000222e-01 1.896430109915341888e-01 2.547793033850489941e+00 -7.220631579374124920e-01
2.374999999999999889e-01 3.054729258849375184e-01 2.071075296789171016e+00 -5.150272753062764552e-01
2.625000000000000111e-01 5.722678179085990413e-01 1.443329354236579931e+00 -2.424006764185303864e-01
2.875000000000000333e-01 3.661335627974440232e-01 1.889938256657472504e+00 -4.363604583087918876e-01
3.125000000000000000e-01 8.024412090420963706e-01 1.105277856605819453e+00 -9.558677639836095363e-02
3.375000000000000222e-01 1.074831910486467645e+00 8.130168831680067987e-01 3.134055164135392951e-02
3.625000000000000444e-01 1.503216035810966300e+00 4.775743333406725633e-01 1.770214000269217935e-01
3.875000000000000111e-01 9.604849014363705528e-01 9.254981865638930438e-01 -1.750945774076495196e-02
4.125000000000000333e-01 1.114002369755831445e+00 7.772219014313688223e-01 4.688611468940345750e-02
4.375000000000000000e-01 1.188987101712911665e+00 7.120794005464836651e-01 7.517714336108678730e-02
4.625000000000000222e-01 1.254021432801398328e+00 6.588256365707637618e-01 9.830495919632012414e-02
4.875000000000000444e-01 1.377337121212454774e+00 5.650291574438468523e-01 1.390402525030936809e-01
5.124999999999999556e-01 1.745087809240458032e+00 3.283762953136030172e-01 2.418172846528696129e-01
5.375000000000000888e-01 1.653673932461371621e+00 3.821817317943909664e-01 2.184498804928674820e-01
5.625000000000000000e-01 1.441184083358954870e+00 5.197161143723812993e-01 1.587194570672755545e-01
5.875000000000001332e-01 1.559066293302416417e+00 4.410940580470465444e-01 1.928645822852551039e-01
6.125000000000000444e-01 1.586601821282701774e+00 4.235866603830110155e-01 2.004679484832316005e-01
6.374999999999999556e-01 1.339710465335482326e+00 5.927276502125657931e-01 1.270109499366019190e-01
6.625000000000000888e-01 2.025469105260478297e+00 1.793798395346620778e-01 3.065256232208055653e-01
6.875000000000000000e-01 1.502945281880163408e+00 4.777544660101614715e-01 1.769431694025522528e-01
7.125000000000001332e-01 1.952572511436470926e+00 2.160334304019334573e-01 2.906071709652101598e-01
7.375000000000000444e-01 1.972313591987308712e+00 2.059739043399239078e-01 2.949759676245028439e-01
7.624999999999999556e-01 1.830488139300107786e+00 2.805984961128568100e-01 2.625669192032352717e-01
7.875000000000000888e-01 2.002083092796624886e+00 1.909929852584548726e-01 3.014820981154240354e-01
8.125000000000000000e-01 1.823726762532714929e+00 2.842990909958147405e-01 2.609597712658072721e-01
8.375000000000001332e-01 2.423423403779379814e+00 0.000000000000000000e+00 3.844292976954000740e-01
8.625000000000000444e-01 1.818599367212459628e+00 2.871145438271015538e-01 2.597370356371204725e-01
8.874999999999999556e-01 1.228715448667440979e+00 6.792118971902953994e-01 8.945131870261596729e-02
9.125000000000000888e-01 6.122430149343340844e-01 1.375807162244053750e+00 -2.130761610301643572e-01
9.375000000000000000e-01 3.311838763993044110e-01 1.990262710208905883e+00 -4.799308148861385348e-01
9.625000000000001332e-01 9.051824077084541856e-03 5.589970156284522318e+00 -2.043263895182826140e+00
9.875000000000000444e-01 0.000000000000000000e+00 inf -inf
