# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Apr 22 14:31:24 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_1944_lipid_systems/WE_runs/Analysis/data/multi_west_aux/corebychol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.250000000000000069e-02 3.882693529448540820e-02 5.288226661856696431e+00 -1.410866888032917377e+00
3.750000000000000555e-02 1.776870113012633645e+00 1.464732144180900253e+00 2.496556825810161140e-01
6.250000000000000000e-02 4.896501759650599972e+00 4.510645737254943555e-01 6.898859149140746938e-01
8.750000000000000833e-02 7.687422849717728823e+00 0.000000000000000000e+00 8.857807702650993820e-01
1.125000000000000028e-01 6.845213673198276894e+00 1.160359230669980590e-01 8.353870091745518867e-01
1.375000000000000111e-01 5.123944768997074739e+00 4.056609921810616637e-01 7.096044398374661277e-01
1.625000000000000333e-01 2.898347475561032560e+00 9.754448587124553427e-01 4.621504507253829663e-01
1.875000000000000000e-01 3.264850763149554691e+00 8.563715436600332076e-01 5.138633343945773202e-01
2.125000000000000222e-01 2.285902059839992617e+00 1.212824876282959874e+00 3.590576189804157714e-01
2.374999999999999889e-01 2.639695527484392290e+00 1.068922017264386071e+00 4.215538365822840139e-01
2.625000000000000111e-01 1.776998169009899486e+00 1.464660078483941863e+00 2.496869803155397083e-01
2.875000000000000333e-01 4.393721725178816317e-01 2.861994048947799740e+00 -3.571674524328753431e-01
3.125000000000000000e-01 2.217342736851538598e-01 3.545861176700466633e+00 -6.541671723708846198e-01
3.375000000000000222e-01 9.783913602768437578e-02 4.364016215376526731e+00 -1.009487391009239010e+00
3.625000000000000444e-01 6.480322853607153009e-03 7.078570544044760382e+00 -2.188403356776439157e+00
3.875000000000000111e-01 0.000000000000000000e+00 inf -inf
4.125000000000000333e-01 0.000000000000000000e+00 inf -inf
4.375000000000000000e-01 0.000000000000000000e+00 inf -inf
4.625000000000000222e-01 0.000000000000000000e+00 inf -inf
4.875000000000000444e-01 0.000000000000000000e+00 inf -inf
5.124999999999999556e-01 0.000000000000000000e+00 inf -inf
5.375000000000000888e-01 0.000000000000000000e+00 inf -inf
5.625000000000000000e-01 0.000000000000000000e+00 inf -inf
5.875000000000001332e-01 0.000000000000000000e+00 inf -inf
6.125000000000000444e-01 0.000000000000000000e+00 inf -inf
6.374999999999999556e-01 0.000000000000000000e+00 inf -inf
6.625000000000000888e-01 0.000000000000000000e+00 inf -inf
6.875000000000000000e-01 0.000000000000000000e+00 inf -inf
7.125000000000001332e-01 0.000000000000000000e+00 inf -inf
7.375000000000000444e-01 0.000000000000000000e+00 inf -inf
7.624999999999999556e-01 0.000000000000000000e+00 inf -inf
7.875000000000000888e-01 0.000000000000000000e+00 inf -inf
8.125000000000000000e-01 0.000000000000000000e+00 inf -inf
8.375000000000001332e-01 0.000000000000000000e+00 inf -inf
8.625000000000000444e-01 0.000000000000000000e+00 inf -inf
8.874999999999999556e-01 0.000000000000000000e+00 inf -inf
9.125000000000000888e-01 0.000000000000000000e+00 inf -inf
9.375000000000000000e-01 0.000000000000000000e+00 inf -inf
9.625000000000001332e-01 0.000000000000000000e+00 inf -inf
9.875000000000000444e-01 0.000000000000000000e+00 inf -inf
