# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0006
# created at:         Mon Apr 22 14:29:42 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_324_lipid_systems/WE_runs/Analysis/data/multi_west_aux/corebychol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.250000000000000069e-02 9.963696935195445192e+00 0.000000000000000000e+00 9.984205091721782832e-01
3.750000000000000555e-02 7.679660007912173292e+00 2.603729045828404587e-01 8.853419934747286391e-01
6.250000000000000000e-02 7.674563974154649415e+00 2.610367002850000340e-01 8.850537106641697127e-01
8.750000000000000833e-02 3.637742226367574272e+00 1.007584959237625588e+00 5.608319213265644532e-01
1.125000000000000028e-01 4.494417964679293220e+00 7.961120064743745228e-01 6.526734577834314432e-01
1.375000000000000111e-01 2.354597850729282627e+00 1.442578232094372748e+00 3.719167432598435297e-01
1.625000000000000333e-01 1.669254534116892508e+00 1.786571040947297684e+00 2.225225645606182245e-01
1.875000000000000000e-01 1.279990944288978971e+00 2.052095177827117922e+00 1.072068971015885247e-01
2.125000000000000222e-01 4.210343033963587778e-01 3.163989148827067943e+00 -3.756825189651840646e-01
2.374999999999999889e-01 5.346647463228820785e-01 2.925063551855052069e+00 -2.719184506147971359e-01
2.625000000000000111e-01 1.242812612667858474e-01 4.384156226878003437e+00 -9.055943479627195369e-01
2.875000000000000333e-01 1.321498463081757779e-01 4.322766981902296024e+00 -8.789333376215631155e-01
3.125000000000000000e-01 3.286701428505453548e-02 5.714233910432594321e+00 -1.483239746433137940e+00
3.375000000000000222e-01 9.007323297745982351e-05 1.161383569971800256e+01 -4.045404248946342207e+00
3.625000000000000444e-01 0.000000000000000000e+00 inf -inf
3.875000000000000111e-01 9.883177434764020292e-04 9.218454490169946780e+00 -3.005103407584884145e+00
4.125000000000000333e-01 0.000000000000000000e+00 inf -inf
4.375000000000000000e-01 0.000000000000000000e+00 inf -inf
4.625000000000000222e-01 0.000000000000000000e+00 inf -inf
4.875000000000000444e-01 0.000000000000000000e+00 inf -inf
5.124999999999999556e-01 0.000000000000000000e+00 inf -inf
5.375000000000000888e-01 0.000000000000000000e+00 inf -inf
5.625000000000000000e-01 0.000000000000000000e+00 inf -inf
5.875000000000001332e-01 0.000000000000000000e+00 inf -inf
6.125000000000000444e-01 0.000000000000000000e+00 inf -inf
6.374999999999999556e-01 0.000000000000000000e+00 inf -inf
6.625000000000000888e-01 0.000000000000000000e+00 inf -inf
6.875000000000000000e-01 0.000000000000000000e+00 inf -inf
7.125000000000001332e-01 0.000000000000000000e+00 inf -inf
7.375000000000000444e-01 0.000000000000000000e+00 inf -inf
7.624999999999999556e-01 0.000000000000000000e+00 inf -inf
7.875000000000000888e-01 0.000000000000000000e+00 inf -inf
8.125000000000000000e-01 0.000000000000000000e+00 inf -inf
8.375000000000001332e-01 0.000000000000000000e+00 inf -inf
8.625000000000000444e-01 0.000000000000000000e+00 inf -inf
8.874999999999999556e-01 0.000000000000000000e+00 inf -inf
9.125000000000000888e-01 0.000000000000000000e+00 inf -inf
9.375000000000000000e-01 0.000000000000000000e+00 inf -inf
9.625000000000001332e-01 0.000000000000000000e+00 inf -inf
9.875000000000000444e-01 0.000000000000000000e+00 inf -inf
