# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Apr 22 14:31:30 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_1944_lipid_systems/WE_runs/Analysis/data/multi_west_aux/corebydipc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.250000000000000069e-02 4.621865738219555375e+00 3.365790684758096507e-01 6.648173253929199333e-01
3.750000000000000555e-02 5.624112651439807209e+00 1.403143466983554077e-01 7.500540110531452864e-01
6.250000000000000000e-02 6.471303337917301945e+00 0.000000000000000000e+00 8.109917575561008674e-01
8.750000000000000833e-02 4.394616013903419827e+00 3.869973730196478723e-01 6.429209339426134040e-01
1.125000000000000028e-01 2.817134972244117463e+00 8.316571302736068816e-01 4.498076550427795306e-01
1.375000000000000111e-01 2.235525826546196360e+00 1.062901061947446379e+00 3.493796915432183514e-01
1.625000000000000333e-01 2.232584476048302680e+00 1.064217659221721846e+00 3.488079006121117542e-01
1.875000000000000000e-01 9.648765950564752725e-01 1.903132598080804927e+00 -1.552822812059194771e-02
2.125000000000000222e-01 1.187163701876414068e+00 1.695810513091166705e+00 7.451060936708495119e-02
2.374999999999999889e-01 1.432086744247517585e+00 1.508244889194050309e+00 1.559693248203433136e-01
2.625000000000000111e-01 1.773977302557149471e+00 1.294153442184097225e+00 2.489480588794483473e-01
2.875000000000000333e-01 1.239275340834744998e+00 1.652850725255128994e+00 9.316780816801052689e-02
3.125000000000000000e-01 1.098039215706785976e+00 1.773851473460215322e+00 4.061785091637670764e-02
3.375000000000000222e-01 1.851702299673414487e+00 1.251272153503375284e+00 2.675711659303862677e-01
3.625000000000000444e-01 1.276328913486018068e+00 1.623389610594220933e+00 1.059626076959618718e-01
3.875000000000000111e-01 5.360883783333134645e-01 2.490833778042871760e+00 -2.707636075861474811e-01
4.125000000000000333e-01 2.179512910099944689e-01 3.390861208382220049e+00 -6.616405541440897320e-01
4.375000000000000000e-01 2.536720089946795098e-02 5.541675774068287375e+00 -1.595727451618687898e+00
4.625000000000000222e-01 0.000000000000000000e+00 inf -inf
4.875000000000000444e-01 0.000000000000000000e+00 inf -inf
5.124999999999999556e-01 0.000000000000000000e+00 inf -inf
5.375000000000000888e-01 0.000000000000000000e+00 inf -inf
5.625000000000000000e-01 0.000000000000000000e+00 inf -inf
5.875000000000001332e-01 0.000000000000000000e+00 inf -inf
6.125000000000000444e-01 0.000000000000000000e+00 inf -inf
6.374999999999999556e-01 0.000000000000000000e+00 inf -inf
6.625000000000000888e-01 0.000000000000000000e+00 inf -inf
6.875000000000000000e-01 0.000000000000000000e+00 inf -inf
7.125000000000001332e-01 0.000000000000000000e+00 inf -inf
7.375000000000000444e-01 0.000000000000000000e+00 inf -inf
7.624999999999999556e-01 0.000000000000000000e+00 inf -inf
7.875000000000000888e-01 0.000000000000000000e+00 inf -inf
8.125000000000000000e-01 0.000000000000000000e+00 inf -inf
8.375000000000001332e-01 0.000000000000000000e+00 inf -inf
8.625000000000000444e-01 0.000000000000000000e+00 inf -inf
8.874999999999999556e-01 0.000000000000000000e+00 inf -inf
9.125000000000000888e-01 0.000000000000000000e+00 inf -inf
9.375000000000000000e-01 0.000000000000000000e+00 inf -inf
9.625000000000001332e-01 0.000000000000000000e+00 inf -inf
9.875000000000000444e-01 0.000000000000000000e+00 inf -inf
