# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0006
# created at:         Mon Apr 22 14:31:48 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_3888_lipid_systems/WE_runs/Analysis/data/multi_west_aux/corebydipc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.250000000000000069e-02 7.618855542408693005e+00 0.000000000000000000e+00 8.818897391945450526e-01
3.750000000000000555e-02 5.017582283263315013e+00 4.176779663246068530e-01 7.004945032071960842e-01
6.250000000000000000e-02 2.827205369252899558e+00 9.913374454107566347e-01 4.513573569485872516e-01
8.750000000000000833e-02 4.948855304511226905e+00 4.314698689098381834e-01 6.945047560194828051e-01
1.125000000000000028e-01 2.352870907261540356e+00 1.174989921935841952e+00 3.715980998058763252e-01
1.375000000000000111e-01 2.808702645423839961e+00 9.979034824206742815e-01 4.485057633072075389e-01
1.625000000000000333e-01 1.693161699347820015e+00 1.504028558001482940e+00 2.286984358295960640e-01
1.875000000000000000e-01 2.581915764398671431e+00 1.082094499409322008e+00 4.119420692032149667e-01
2.125000000000000222e-01 1.863803887994709862e+00 1.408006666708626176e+00 2.704002133599976432e-01
2.374999999999999889e-01 1.636874137864938739e+00 1.537837757549788353e+00 2.140152870282010789e-01
2.625000000000000111e-01 2.754710190304755724e+00 1.017313924143932180e+00 4.400759155754919716e-01
2.875000000000000333e-01 1.256950633636013004e+00 1.801937511458351793e+00 9.931822123370520616e-02
3.125000000000000000e-01 1.187769349387506779e+00 1.858549115390148110e+00 7.473211403443372203e-02
3.375000000000000222e-01 1.224474526866003554e+00 1.828114372826136869e+00 8.794975478812977476e-02
3.625000000000000444e-01 2.253643379325865614e-01 3.520663073830902601e+00 -6.471148064107568043e-01
3.875000000000000111e-01 9.034201454774966333e-04 9.039949002505295539e+00 -3.044110229280310609e+00
4.125000000000000333e-01 0.000000000000000000e+00 inf -inf
4.375000000000000000e-01 0.000000000000000000e+00 inf -inf
4.625000000000000222e-01 0.000000000000000000e+00 inf -inf
4.875000000000000444e-01 0.000000000000000000e+00 inf -inf
5.124999999999999556e-01 0.000000000000000000e+00 inf -inf
5.375000000000000888e-01 0.000000000000000000e+00 inf -inf
5.625000000000000000e-01 0.000000000000000000e+00 inf -inf
5.875000000000001332e-01 0.000000000000000000e+00 inf -inf
6.125000000000000444e-01 0.000000000000000000e+00 inf -inf
6.374999999999999556e-01 0.000000000000000000e+00 inf -inf
6.625000000000000888e-01 0.000000000000000000e+00 inf -inf
6.875000000000000000e-01 0.000000000000000000e+00 inf -inf
7.125000000000001332e-01 0.000000000000000000e+00 inf -inf
7.375000000000000444e-01 0.000000000000000000e+00 inf -inf
7.624999999999999556e-01 0.000000000000000000e+00 inf -inf
7.875000000000000888e-01 0.000000000000000000e+00 inf -inf
8.125000000000000000e-01 0.000000000000000000e+00 inf -inf
8.375000000000001332e-01 0.000000000000000000e+00 inf -inf
8.625000000000000444e-01 0.000000000000000000e+00 inf -inf
8.874999999999999556e-01 0.000000000000000000e+00 inf -inf
9.125000000000000888e-01 0.000000000000000000e+00 inf -inf
9.375000000000000000e-01 0.000000000000000000e+00 inf -inf
9.625000000000001332e-01 0.000000000000000000e+00 inf -inf
9.875000000000000444e-01 0.000000000000000000e+00 inf -inf
