# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0006
# created at:         Mon Apr 22 14:31:46 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_10110_lipid_systems/WE_runs/Analysis/data/multi_west_aux/corebydppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.250000000000000069e-02 0.000000000000000000e+00 inf -inf
3.750000000000000555e-02 0.000000000000000000e+00 inf -inf
6.250000000000000000e-02 8.313555844833263059e-04 9.071438126663153412e+00 -3.080213181572726278e+00
8.750000000000000833e-02 4.268678122140317832e+00 5.276809654864405008e-01 6.302934082477114064e-01
1.125000000000000028e-01 6.727360625999566857e+00 7.280228518262910065e-02 8.278447090390901320e-01
1.375000000000000111e-01 6.919548526037351266e+00 4.463464593091526211e-02 8.400777593343509153e-01
1.625000000000000333e-01 2.082481460984508814e+00 1.245424978799146931e+00 3.185811438469088319e-01
1.875000000000000000e-01 1.531968745168363011e+00 1.552431501745875186e+00 1.852499050228407218e-01
2.125000000000000222e-01 1.975220024970608002e+00 1.298305374333618367e+00 2.956154798654265781e-01
2.374999999999999889e-01 5.211940484882473967e+00 3.280329311963130490e-01 7.169994478627449430e-01
2.625000000000000111e-01 7.235396571684268530e+00 0.000000000000000000e+00 8.594623397638527784e-01
2.875000000000000333e-01 4.046573317367553990e+00 5.811147430286902615e-01 6.070874135138664140e-01
3.125000000000000000e-01 7.651804929881437242e-07 1.606213926393243696e+01 -6.116236110123562497e+00
3.375000000000000222e-01 0.000000000000000000e+00 inf -inf
3.625000000000000444e-01 0.000000000000000000e+00 inf -inf
3.875000000000000111e-01 0.000000000000000000e+00 inf -inf
4.125000000000000333e-01 0.000000000000000000e+00 inf -inf
4.375000000000000000e-01 0.000000000000000000e+00 inf -inf
4.625000000000000222e-01 0.000000000000000000e+00 inf -inf
4.875000000000000444e-01 0.000000000000000000e+00 inf -inf
5.124999999999999556e-01 0.000000000000000000e+00 inf -inf
5.375000000000000888e-01 0.000000000000000000e+00 inf -inf
5.625000000000000000e-01 0.000000000000000000e+00 inf -inf
5.875000000000001332e-01 0.000000000000000000e+00 inf -inf
6.125000000000000444e-01 0.000000000000000000e+00 inf -inf
6.374999999999999556e-01 0.000000000000000000e+00 inf -inf
6.625000000000000888e-01 0.000000000000000000e+00 inf -inf
6.875000000000000000e-01 0.000000000000000000e+00 inf -inf
7.125000000000001332e-01 0.000000000000000000e+00 inf -inf
7.375000000000000444e-01 0.000000000000000000e+00 inf -inf
7.624999999999999556e-01 0.000000000000000000e+00 inf -inf
7.875000000000000888e-01 0.000000000000000000e+00 inf -inf
8.125000000000000000e-01 0.000000000000000000e+00 inf -inf
8.375000000000001332e-01 0.000000000000000000e+00 inf -inf
8.625000000000000444e-01 0.000000000000000000e+00 inf -inf
8.874999999999999556e-01 0.000000000000000000e+00 inf -inf
9.125000000000000888e-01 0.000000000000000000e+00 inf -inf
9.375000000000000000e-01 0.000000000000000000e+00 inf -inf
9.625000000000001332e-01 0.000000000000000000e+00 inf -inf
9.875000000000000444e-01 0.000000000000000000e+00 inf -inf
