# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Apr 22 14:31:27 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_1944_lipid_systems/WE_runs/Analysis/data/multi_west_aux/corebydppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
1.250000000000000069e-02 1.541705094553851019e-02 5.908359242022671154e+00 -1.811998692469673600e+00
3.750000000000000555e-02 4.485619733385953767e-01 2.537786492119138426e+00 -3.481775463330999409e-01
6.250000000000000000e-02 2.723813091154179578e+00 7.340452938663559745e-01 4.351773028496429552e-01
8.750000000000000833e-02 5.675042567482446287e+00 0.000000000000000000e+00 7.539691234428522737e-01
1.125000000000000028e-01 3.889386907253463921e+00 3.778265263981490651e-01 5.898811479114628442e-01
1.375000000000000111e-01 5.425147294176829504e+00 4.503301415902027927e-02 7.344115338901187062e-01
1.625000000000000333e-01 2.140679583106390282e+00 9.749547233964939164e-01 3.305516669662437179e-01
1.875000000000000000e-01 3.603383117140346759e+00 4.542049052870831272e-01 5.567104394232829101e-01
2.125000000000000222e-01 4.682188776929436358e+00 1.923123762413134763e-01 6.704489196395477801e-01
2.374999999999999889e-01 2.698362029966997255e+00 7.434331308647399439e-01 4.311002170442376213e-01
2.625000000000000111e-01 1.381841380300744770e+00 1.412661120928823122e+00 1.404581938242020211e-01
2.875000000000000333e-01 9.038534852812671883e-01 1.837166069746545727e+00 -4.390196298795728813e-02
3.125000000000000000e-01 1.454876593612111524e+00 1.361156982577736319e+00 1.628261569052606161e-01
3.375000000000000222e-01 2.203840484403273070e+00 9.458765510434712365e-01 3.431801567629931826e-01
3.625000000000000444e-01 1.695482538988675403e+00 1.208110680130490611e+00 2.292933215337956132e-01
3.875000000000000111e-01 9.795187604609706389e-01 1.756771952898748212e+00 -8.987241663473576406e-03
4.125000000000000333e-01 7.860436545873240866e-02 4.279406105119138992e+00 -1.104553333833477202e+00
4.375000000000000000e-01 0.000000000000000000e+00 inf -inf
4.625000000000000222e-01 0.000000000000000000e+00 inf -inf
4.875000000000000444e-01 0.000000000000000000e+00 inf -inf
5.124999999999999556e-01 0.000000000000000000e+00 inf -inf
5.375000000000000888e-01 0.000000000000000000e+00 inf -inf
5.625000000000000000e-01 0.000000000000000000e+00 inf -inf
5.875000000000001332e-01 0.000000000000000000e+00 inf -inf
6.125000000000000444e-01 0.000000000000000000e+00 inf -inf
6.374999999999999556e-01 0.000000000000000000e+00 inf -inf
6.625000000000000888e-01 0.000000000000000000e+00 inf -inf
6.875000000000000000e-01 0.000000000000000000e+00 inf -inf
7.125000000000001332e-01 0.000000000000000000e+00 inf -inf
7.375000000000000444e-01 0.000000000000000000e+00 inf -inf
7.624999999999999556e-01 0.000000000000000000e+00 inf -inf
7.875000000000000888e-01 0.000000000000000000e+00 inf -inf
8.125000000000000000e-01 0.000000000000000000e+00 inf -inf
8.375000000000001332e-01 0.000000000000000000e+00 inf -inf
8.625000000000000444e-01 0.000000000000000000e+00 inf -inf
8.874999999999999556e-01 0.000000000000000000e+00 inf -inf
9.125000000000000888e-01 0.000000000000000000e+00 inf -inf
9.375000000000000000e-01 0.000000000000000000e+00 inf -inf
9.625000000000001332e-01 0.000000000000000000e+00 inf -inf
9.875000000000000444e-01 0.000000000000000000e+00 inf -inf
