# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0006
# created at:         Mon Apr 22 14:32:26 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_10110_lipid_systems/WE_runs/Analysis/data/multi_west_aux/meancluschol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e+00 0.000000000000000000e+00 inf -inf
1.500000000000000000e+01 0.000000000000000000e+00 inf -inf
2.500000000000000000e+01 0.000000000000000000e+00 inf -inf
3.500000000000000000e+01 0.000000000000000000e+00 inf -inf
4.500000000000000000e+01 5.467665416343042532e-03 1.532203719876069847e+00 -2.262198069137460354e+00
5.500000000000000000e+01 2.530635240609913766e-02 0.000000000000000000e+00 -1.596770448443647350e+00
6.500000000000000000e+01 1.517236109384507634e-02 5.115800239027876728e-01 -1.818946829876561644e+00
7.500000000000000000e+01 4.731913173958742294e-03 1.676725850213067304e+00 -2.324963232855720818e+00
8.500000000000000000e+01 3.207845488387923386e-03 2.065455923085659506e+00 -2.493786558454136326e+00
9.500000000000000000e+01 3.585660040092989755e-03 1.954112878755304372e+00 -2.445430888703154615e+00
1.050000000000000000e+02 3.817711403567761348e-03 1.891404313395085524e+00 -2.418196904799141844e+00
1.150000000000000000e+02 4.606022319234440512e-03 1.703690800388597992e+00 -2.336673961921750031e+00
1.250000000000000000e+02 5.397082646246743713e-03 1.545196890575184945e+00 -2.267840931474513155e+00
1.350000000000000000e+02 5.578725167040357764e-03 1.512095161859297932e+00 -2.253465033351744751e+00
1.450000000000000000e+02 4.931069921141337416e-03 1.635499460409882033e+00 -2.307058839255405225e+00
1.550000000000000000e+02 3.887098263579358282e-03 1.873392515855392126e+00 -2.410374480518494344e+00
1.650000000000000000e+02 3.810004170944290055e-03 1.893425163588332794e+00 -2.419074548886822384e+00
1.750000000000000000e+02 2.698402814909629712e-03 2.238395399520316964e+00 -2.568893218772945630e+00
1.850000000000000000e+02 1.670569373277248307e-03 2.717890937059073586e+00 -2.777135484823261447e+00
1.950000000000000000e+02 2.337615008537908580e-03 2.381924264978483308e+00 -2.631227013035261741e+00
2.050000000000000000e+02 6.614056325863476712e-04 3.644443409775920628e+00 -3.179532110918001475e+00
2.150000000000000000e+02 1.051090143912529863e-03 3.181227589585693849e+00 -2.978360036279096956e+00
2.250000000000000000e+02 6.319102085030949565e-04 3.690063417544617863e+00 -3.199344628556330061e+00
2.350000000000000000e+02 3.587296351341980700e-04 4.256241727158394994e+00 -3.445232744194904217e+00
2.450000000000000000e+02 6.342344461158222479e-04 3.686392051536107495e+00 -3.197750174557786984e+00
2.550000000000000000e+02 8.634876726806066803e-06 7.983001290940124228e+00 -5.063743858125478781e+00
