# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Apr 22 14:32:07 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_1944_lipid_systems/WE_runs/Analysis/data/multi_west_aux/meancluschol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e+00 0.000000000000000000e+00 inf -inf
1.500000000000000000e+01 0.000000000000000000e+00 inf -inf
2.500000000000000000e+01 2.846739992704461642e-04 4.211057708479140516e+00 -3.545652197373704517e+00
3.500000000000000000e+01 5.871328958483762288e-03 1.184566086252409889e+00 -2.231263586314213843e+00
4.500000000000000000e+01 1.703119415611389215e-02 1.196004798959364734e-01 -1.768754900056847212e+00
5.500000000000000000e+01 1.919494749011933094e-02 0.000000000000000000e+00 -1.716813071605060914e+00
6.500000000000000000e+01 1.425103601439542400e-02 2.978174860104720878e-01 -1.846153562393707759e+00
7.500000000000000000e+01 9.078496620198894113e-03 7.487384844047815236e-01 -2.041986063770661719e+00
8.500000000000000000e+01 5.831497373291642979e-03 1.191373286132565212e+00 -2.234219915659377609e+00
9.500000000000000000e+01 5.514863781013787554e-03 1.247200140172096461e+00 -2.258465210310764526e+00
1.050000000000000000e+02 5.302390820090494353e-03 1.286489275872820137e+00 -2.275528265144337148e+00
1.150000000000000000e+02 3.128116235048529481e-03 1.814216111311969470e+00 -2.504717117727825126e+00
1.250000000000000000e+02 3.580439492841623779e-03 1.679161536605618288e+00 -2.446063661177066528e+00
1.350000000000000000e+02 3.685035045633026137e-03 1.650367056902751983e+00 -2.433558377532836214e+00
1.450000000000000000e+02 1.530579385131862393e-03 2.529000746032286528e+00 -2.815144140336089951e+00
1.550000000000000000e+02 7.742380075642020954e-04 3.210523042195945642e+00 -3.111125512854000963e+00
1.650000000000000000e+02 4.682093056193538556e-05 6.016072034655572054e+00 -4.329559958988444812e+00
1.750000000000000000e+02 7.641170153598608739e-04 3.223681432924854207e+00 -3.116840129338293242e+00
1.850000000000000000e+02 5.813563193086218562e-04 3.497038516714908951e+00 -3.235557602417478584e+00
1.950000000000000000e+02 1.189804839273367635e-03 2.780857799783752249e+00 -2.924524269008762722e+00
2.050000000000000000e+02 1.112678940443389804e-03 2.847876525380598878e+00 -2.953630131719660934e+00
2.150000000000000000e+02 3.573446787972007935e-04 3.983701569005235754e+00 -3.446912680573360976e+00
2.250000000000000000e+02 6.496567784774632398e-04 3.385958181509631792e+00 -3.187316025789863172e+00
2.350000000000000000e+02 2.330244870142438170e-04 4.411258829303745799e+00 -3.632598439418676328e+00
2.450000000000000000e+02 5.207234685277668647e-06 8.212353427552534058e+00 -5.283392848630382943e+00
