# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Apr 22 14:32:04 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_1944_lipid_systems/WE_runs/Analysis/data/multi_west_aux/meanclusdipc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e+00 1.143756964697257113e-04 5.331952021376178408e+00 -3.941666248361230807e+00
1.500000000000000000e+01 2.071569348394915015e-03 2.435378895967931001e+00 -2.683700523567173590e+00
2.500000000000000000e+01 3.750107813961441570e-03 1.841900765365227066e+00 -2.425956246316161469e+00
3.500000000000000000e+01 1.685715448650561971e-02 3.389101900364135389e-01 -1.773215733098264302e+00
4.500000000000000000e+01 2.365762221315628744e-02 0.000000000000000000e+00 -1.626028907704667237e+00
5.500000000000000000e+01 9.083441108682244886e-03 9.572322577771998908e-01 -2.041749595157096309e+00
6.500000000000000000e+01 6.802798650177852187e-03 1.246351261609431660e+00 -2.167312383134799791e+00
7.500000000000000000e+01 6.396834976853195236e-03 1.307882022147738965e+00 -2.194034852903896660e+00
8.500000000000000000e+01 4.828346532488520144e-03 1.589181279086865572e+00 -2.316201567956044371e+00
9.500000000000000000e+01 3.760433396502971173e-03 1.839151139537293034e+00 -2.424762098991791071e+00
1.050000000000000000e+02 2.957863869486728088e-03 2.079218013228004480e+00 -2.529021817523431803e+00
1.150000000000000000e+02 2.681647378714047646e-03 2.177254056097892132e+00 -2.571598329969454699e+00
1.250000000000000000e+02 2.489233432250898687e-03 2.251710550779305819e+00 -2.603934374751451397e+00
1.350000000000000000e+02 2.132680579055927419e-03 2.406305679014989707e+00 -2.671074185873334894e+00
1.450000000000000000e+02 3.774502167722602192e-03 1.835416857419382097e+00 -2.423140320874112241e+00
1.550000000000000000e+02 1.067420928417951373e-03 3.098439963686407950e+00 -2.971664286442186054e+00
1.650000000000000000e+02 7.366704176076474975e-04 3.469300036700303735e+00 -3.132726769710358017e+00
1.750000000000000000e+02 3.283847941245395755e-03 1.974669467715251869e+00 -2.483616961116232424e+00
1.850000000000000000e+02 1.458596820824608958e-03 2.786210463365784484e+00 -2.836064737365529886e+00
1.950000000000000000e+02 3.863088557254252815e-04 4.114803440419745328e+00 -3.413065335995479010e+00
2.050000000000000000e+02 4.469499042426076365e-04 3.968994117018596945e+00 -3.349741151432313213e+00
2.150000000000000000e+02 1.082797783595335246e-03 3.084137123487777465e+00 -2.965452641868377093e+00
2.250000000000000000e+02 1.786813864305287765e-04 4.885836378558991555e+00 -3.747920686395004530e+00
2.350000000000000000e+02 1.143114875213993794e-07 1.224026884428826278e+01 -6.941910123791353193e+00
