# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0006
# created at:         Mon Apr 22 14:32:23 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_3888_lipid_systems/WE_runs/Analysis/data/multi_west_aux/meanclusdipc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e+00 0.000000000000000000e+00 inf -inf
1.500000000000000000e+01 2.744095503818057584e-04 4.301989402683957131e+00 -3.561600777783285654e+00
2.500000000000000000e+01 3.902587968652870051e-03 1.647215908777824644e+00 -2.408647298676836357e+00
3.500000000000000000e+01 2.026420083439734940e-02 0.000000000000000000e+00 -1.693270518991377038e+00
4.500000000000000000e+01 1.445787445853636242e-02 3.376166121891595040e-01 -1.839895550663999124e+00
5.500000000000000000e+01 1.309201373645937916e-02 4.368534176824834248e-01 -1.882993547691456104e+00
6.500000000000000000e+01 8.976495640309400253e-03 8.142462578958991060e-01 -2.046893175705938095e+00
7.500000000000000000e+01 5.000633241722026931e-03 1.399291270787020203e+00 -2.300974996469568712e+00
8.500000000000000000e+01 5.846458554024753715e-03 1.243019720996581867e+00 -2.233107124717112146e+00
9.500000000000000000e+01 4.793100226853834120e-03 1.441678392497552252e+00 -2.319383489532214515e+00
1.050000000000000000e+02 3.382503074142932491e-03 1.790239833646381840e+00 -2.470761800027396315e+00
1.150000000000000000e+02 4.971143227750524952e-03 1.405205984185289303e+00 -2.303543723860475900e+00
1.250000000000000000e+02 3.153502263502218177e-03 1.860342158650384548e+00 -2.501206852945222714e+00
1.350000000000000000e+02 3.502026607417577705e-03 1.755513991933783657e+00 -2.455680558592169049e+00
1.450000000000000000e+02 1.912354814131594612e-03 2.360520453888932835e+00 -2.718431526535099785e+00
1.550000000000000000e+02 7.627794228753776145e-04 3.279642204945552919e+00 -3.117601031216244323e+00
1.650000000000000000e+02 1.818719854422969334e-03 2.410722946633715225e+00 -2.740234192111946854e+00
1.750000000000000000e+02 1.555495753720373062e-03 2.567061516043155578e+00 -2.808131170115115705e+00
1.850000000000000000e+02 7.352830890231516845e-04 3.316355522335260986e+00 -3.133545422370957123e+00
1.950000000000000000e+02 2.372374000693267123e-04 4.447549774691784030e+00 -3.624816844130069882e+00
2.050000000000000000e+02 4.556795304832468607e-05 6.097406417104523690e+00 -4.341340479861349522e+00
2.150000000000000000e+02 9.985236991036791296e-05 5.312918308242539744e+00 -4.000641623063872387e+00
2.250000000000000000e+02 6.899455063058563663e-04 3.379998484424254990e+00 -3.161185209618185166e+00
2.350000000000000000e+02 2.940743395767497119e-04 4.232778511449141412e+00 -3.531542869632399384e+00
2.450000000000000000e+02 7.756519685505304453e-05 5.565492270078755688e+00 -4.110333100961782726e+00
2.550000000000000000e+02 6.295502826164707413e-05 5.774190468156645828e+00 -4.200969576770162917e+00
2.650000000000000000e+02 4.970524392681034460e-06 8.313085756380015567e+00 -5.303597790575738991e+00
2.750000000000000000e+02 0.000000000000000000e+00 inf -inf
2.850000000000000000e+02 0.000000000000000000e+00 inf -inf
2.950000000000000000e+02 0.000000000000000000e+00 inf -inf
3.050000000000000000e+02 0.000000000000000000e+00 inf -inf
3.150000000000000000e+02 0.000000000000000000e+00 inf -inf
3.250000000000000000e+02 0.000000000000000000e+00 inf -inf
3.350000000000000000e+02 3.970062479490350018e-05 6.235244177052243764e+00 -4.401202658404549162e+00
3.450000000000000000e+02 4.654873846058462864e-05 6.076111199911914618e+00 -4.332092084543667454e+00
3.550000000000000000e+02 0.000000000000000000e+00 inf -inf
3.650000000000000000e+02 0.000000000000000000e+00 inf -inf
3.750000000000000000e+02 0.000000000000000000e+00 inf -inf
3.850000000000000000e+02 0.000000000000000000e+00 inf -inf
3.950000000000000000e+02 0.000000000000000000e+00 inf -inf
4.050000000000000000e+02 0.000000000000000000e+00 inf -inf
4.150000000000000000e+02 0.000000000000000000e+00 inf -inf
4.250000000000000000e+02 0.000000000000000000e+00 inf -inf
4.350000000000000000e+02 0.000000000000000000e+00 inf -inf
4.450000000000000000e+02 0.000000000000000000e+00 inf -inf
4.550000000000000000e+02 0.000000000000000000e+00 inf -inf
4.650000000000000000e+02 0.000000000000000000e+00 inf -inf
4.750000000000000000e+02 0.000000000000000000e+00 inf -inf
4.850000000000000000e+02 0.000000000000000000e+00 inf -inf
4.950000000000000000e+02 0.000000000000000000e+00 inf -inf
5.050000000000000000e+02 0.000000000000000000e+00 inf -inf
5.150000000000000000e+02 0.000000000000000000e+00 inf -inf
5.250000000000000000e+02 0.000000000000000000e+00 inf -inf
5.350000000000000000e+02 0.000000000000000000e+00 inf -inf
5.450000000000000000e+02 0.000000000000000000e+00 inf -inf
5.550000000000000000e+02 0.000000000000000000e+00 inf -inf
5.650000000000000000e+02 0.000000000000000000e+00 inf -inf
5.750000000000000000e+02 0.000000000000000000e+00 inf -inf
5.850000000000000000e+02 0.000000000000000000e+00 inf -inf
5.950000000000000000e+02 0.000000000000000000e+00 inf -inf
6.050000000000000000e+02 0.000000000000000000e+00 inf -inf
6.150000000000000000e+02 0.000000000000000000e+00 inf -inf
6.250000000000000000e+02 0.000000000000000000e+00 inf -inf
6.350000000000000000e+02 0.000000000000000000e+00 inf -inf
6.450000000000000000e+02 0.000000000000000000e+00 inf -inf
6.550000000000000000e+02 0.000000000000000000e+00 inf -inf
6.650000000000000000e+02 0.000000000000000000e+00 inf -inf
6.750000000000000000e+02 0.000000000000000000e+00 inf -inf
6.850000000000000000e+02 0.000000000000000000e+00 inf -inf
6.950000000000000000e+02 0.000000000000000000e+00 inf -inf
7.050000000000000000e+02 0.000000000000000000e+00 inf -inf
7.150000000000000000e+02 0.000000000000000000e+00 inf -inf
7.250000000000000000e+02 0.000000000000000000e+00 inf -inf
7.350000000000000000e+02 0.000000000000000000e+00 inf -inf
7.450000000000000000e+02 0.000000000000000000e+00 inf -inf
7.550000000000000000e+02 0.000000000000000000e+00 inf -inf
7.650000000000000000e+02 0.000000000000000000e+00 inf -inf
7.750000000000000000e+02 0.000000000000000000e+00 inf -inf
7.850000000000000000e+02 0.000000000000000000e+00 inf -inf
7.950000000000000000e+02 0.000000000000000000e+00 inf -inf
