# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Apr 22 14:32:01 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_1944_lipid_systems/WE_runs/Analysis/data/multi_west_aux/meanclusdppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e+00 0.000000000000000000e+00 inf -inf
1.500000000000000000e+01 0.000000000000000000e+00 inf -inf
2.500000000000000000e+01 0.000000000000000000e+00 inf -inf
3.500000000000000000e+01 1.487497711382506889e-03 2.171498850321799345e+00 -2.827543693790816715e+00
4.500000000000000000e+01 9.959664046266025750e-03 2.700508294588290781e-01 -2.001755310704169677e+00
5.500000000000000000e+01 1.304746902078931028e-02 0.000000000000000000e+00 -1.884473725636803820e+00
6.500000000000000000e+01 1.047145703684015765e-02 2.199409919697279392e-01 -1.979992884793584373e+00
7.500000000000000000e+01 8.821636713125920182e-03 3.913867490072400201e-01 -2.054450831020701251e+00
8.500000000000000000e+01 7.925967908762427197e-03 4.984497242884549095e-01 -2.100947690401476997e+00
9.500000000000000000e+01 6.077358781731727680e-03 7.640239794969421183e-01 -2.216285123974089277e+00
1.050000000000000000e+02 6.835258459699138436e-03 6.464998865832622954e-01 -2.165245058930993061e+00
1.150000000000000000e+02 5.366875372109213352e-03 8.883482984128425741e-01 -2.270278489645644715e+00
1.250000000000000000e+02 4.021405191497943836e-03 1.176962778515497021e+00 -2.395622165751603028e+00
1.350000000000000000e+02 2.324633334767063891e-03 1.725031849065909562e+00 -2.633645538793491614e+00
1.450000000000000000e+02 3.045793322233179140e-03 1.454832770209688597e+00 -2.516299569830893201e+00
1.550000000000000000e+02 2.467957787659379783e-03 1.665203168160742209e+00 -2.607662272816826832e+00
1.650000000000000000e+02 2.413966030918236316e-03 1.687323119314704911e+00 -2.617268845542962463e+00
1.750000000000000000e+02 1.003325104083332238e-03 2.565274582043142182e+00 -2.998558321184811248e+00
1.850000000000000000e+02 4.425776086198441803e-04 3.383733613392973183e+00 -3.354010562163923126e+00
1.950000000000000000e+02 1.394636345128467785e-03 2.235960473398383996e+00 -2.855539020987504450e+00
2.050000000000000000e+02 1.639421795613198434e-03 2.074250554171438665e+00 -2.785309295398221696e+00
2.150000000000000000e+02 1.861914237023191325e-03 1.946989051998645692e+00 -2.730040327245859100e+00
2.250000000000000000e+02 1.774699453501932646e-03 1.994963083571827944e+00 -2.750875184432744369e+00
2.350000000000000000e+02 1.379110346505271539e-03 2.247155555361437074e+00 -2.860400983308513112e+00
2.450000000000000000e+02 9.114392419204260195e-05 4.963909607516869826e+00 -4.040272276847916899e+00
