# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0001
# created at:         Mon Apr 22 14:32:03 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_972_lipid_systems/WE_runs/Analysis/data/multi_west_aux/meanclusdppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e+00 2.052578017329535449e-06 8.765216563338526612e+00 -5.687700326607169288e+00
1.500000000000000000e+01 1.342734076985462217e-04 4.584435058628730353e+00 -3.872009989068531777e+00
2.500000000000000000e+01 1.311354874393791566e-03 2.305496998855616653e+00 -2.882279765109765357e+00
3.500000000000000000e+01 9.152064952320546759e-03 3.625783251823744280e-01 -2.038480906346690880e+00
4.500000000000000000e+01 1.315178981356766343e-02 0.000000000000000000e+00 -1.881015140462263258e+00
5.500000000000000000e+01 8.323366167393587284e-03 4.574910964208216413e-01 -2.079700999157694685e+00
6.500000000000000000e+01 5.953634890967412878e-03 7.925559177822814050e-01 -2.225217802154875635e+00
7.500000000000000000e+01 7.838983298259645169e-03 5.174487122490978308e-01 -2.105740260859989998e+00
8.500000000000000000e+01 6.788891774600551259e-03 6.612701429524783237e-01 -2.168201114593899081e+00
9.500000000000000000e+01 5.745191062104528304e-03 8.281946889985958293e-01 -2.240695523835933400e+00
1.050000000000000000e+02 6.361348535404845635e-03 7.263174681129154209e-01 -2.196450808973643198e+00
1.150000000000000000e+02 5.809744231163989359e-03 8.170213091376856696e-01 -2.235842986618131079e+00
1.250000000000000000e+02 3.035514948098714562e-03 1.466176776854219099e+00 -2.517767624144745753e+00
1.350000000000000000e+02 1.518984409013401839e-03 2.158515897277312412e+00 -2.818446683750245985e+00
1.450000000000000000e+02 3.075352926795149686e-03 1.453138189243545320e+00 -2.512105037493618465e+00
1.550000000000000000e+02 5.649109607650353894e-03 8.450599156844438298e-01 -2.248019998721644264e+00
1.650000000000000000e+02 5.815309058336283997e-03 8.160639238322140443e-01 -2.235427199462909353e+00
1.750000000000000000e+02 5.966698474410401035e-03 7.903641017864675433e-01 -2.224265908562546024e+00
1.850000000000000000e+02 3.427072272507919633e-03 1.344851525040194673e+00 -2.465076736766392607e+00
1.950000000000000000e+02 9.392627172953405901e-04 2.639217911636690062e+00 -3.027212916026301492e+00
2.050000000000000000e+02 0.000000000000000000e+00 inf -inf
2.150000000000000000e+02 0.000000000000000000e+00 inf -inf
2.250000000000000000e+02 0.000000000000000000e+00 inf -inf
2.350000000000000000e+02 0.000000000000000000e+00 inf -inf
2.450000000000000000e+02 0.000000000000000000e+00 inf -inf
2.550000000000000000e+02 0.000000000000000000e+00 inf -inf
2.650000000000000000e+02 0.000000000000000000e+00 inf -inf
2.750000000000000000e+02 0.000000000000000000e+00 inf -inf
2.850000000000000000e+02 0.000000000000000000e+00 inf -inf
