# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Apr 22 14:31:52 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_1944_lipid_systems/WE_runs/Analysis/data/multi_west_aux/meancoredppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e+00 1.700465415230836830e-02 3.709358389917394305e-01 -1.769432196502294552e+00
1.500000000000000000e+01 2.464127590649156999e-02 0.000000000000000000e+00 -1.608336808488028957e+00
2.500000000000000000e+01 1.658426543731356811e-02 3.959685386118705352e-01 -1.780303759814458875e+00
3.500000000000000000e+01 1.279396999425844519e-02 6.554489535167045133e-01 -1.892994672169594494e+00
4.500000000000000000e+01 5.838301249448144166e-03 1.439983046662016264e+00 -2.233713499687575155e+00
5.500000000000000000e+01 4.428988881711720151e-03 1.716251604644360995e+00 -2.353695409942676342e+00
6.500000000000000000e+01 3.807958261468776060e-03 1.867329763123678710e+00 -2.419307820506348961e+00
7.500000000000000000e+01 2.399907593941271768e-03 2.328992685155793829e+00 -2.619805480044227863e+00
8.500000000000000000e+01 1.857543629846112893e-03 2.585167933433009324e+00 -2.731060976771217952e+00
9.500000000000000000e+01 3.316339606069679865e-03 2.005561272839270437e+00 -2.479341002400986316e+00
1.050000000000000000e+02 1.575939645212658417e-03 2.749571224726474306e+00 -2.802460418986702617e+00
1.150000000000000000e+02 1.512394755788233722e-04 5.093313686686102848e+00 -3.820334837218111179e+00
1.250000000000000000e+02 1.293769751392017840e-04 5.249447767546583599e+00 -3.888143006972854199e+00
1.350000000000000000e+02 1.306186997484740401e-03 2.937310715266808536e+00 -2.883994643763697407e+00
1.450000000000000000e+02 1.688992838752918736e-03 2.680290521360452871e+00 -2.772372191812463527e+00
1.550000000000000000e+02 1.559927464720998460e-03 2.759783596037273412e+00 -2.806895595494129925e+00
1.650000000000000000e+02 8.988851355324941738e-04 3.311022941069514225e+00 -3.046295801249594870e+00
1.750000000000000000e+02 1.624675472050217544e-05 7.324285018902529920e+00 -4.789233376084052196e+00
1.850000000000000000e+02 0.000000000000000000e+00 inf -inf
1.950000000000000000e+02 0.000000000000000000e+00 inf -inf
2.050000000000000000e+02 0.000000000000000000e+00 inf -inf
2.150000000000000000e+02 0.000000000000000000e+00 inf -inf
2.250000000000000000e+02 0.000000000000000000e+00 inf -inf
2.350000000000000000e+02 0.000000000000000000e+00 inf -inf
2.450000000000000000e+02 0.000000000000000000e+00 inf -inf
2.550000000000000000e+02 0.000000000000000000e+00 inf -inf
2.650000000000000000e+02 0.000000000000000000e+00 inf -inf
2.750000000000000000e+02 0.000000000000000000e+00 inf -inf
2.850000000000000000e+02 0.000000000000000000e+00 inf -inf
2.950000000000000000e+02 0.000000000000000000e+00 inf -inf
3.050000000000000000e+02 0.000000000000000000e+00 inf -inf
3.150000000000000000e+02 0.000000000000000000e+00 inf -inf
3.250000000000000000e+02 0.000000000000000000e+00 inf -inf
3.350000000000000000e+02 0.000000000000000000e+00 inf -inf
3.450000000000000000e+02 0.000000000000000000e+00 inf -inf
3.550000000000000000e+02 0.000000000000000000e+00 inf -inf
3.650000000000000000e+02 0.000000000000000000e+00 inf -inf
3.750000000000000000e+02 0.000000000000000000e+00 inf -inf
3.850000000000000000e+02 0.000000000000000000e+00 inf -inf
3.950000000000000000e+02 0.000000000000000000e+00 inf -inf
4.050000000000000000e+02 0.000000000000000000e+00 inf -inf
4.150000000000000000e+02 0.000000000000000000e+00 inf -inf
4.250000000000000000e+02 0.000000000000000000e+00 inf -inf
4.350000000000000000e+02 0.000000000000000000e+00 inf -inf
4.450000000000000000e+02 0.000000000000000000e+00 inf -inf
4.550000000000000000e+02 0.000000000000000000e+00 inf -inf
4.650000000000000000e+02 0.000000000000000000e+00 inf -inf
4.750000000000000000e+02 0.000000000000000000e+00 inf -inf
4.850000000000000000e+02 0.000000000000000000e+00 inf -inf
4.950000000000000000e+02 0.000000000000000000e+00 inf -inf
5.050000000000000000e+02 0.000000000000000000e+00 inf -inf
5.150000000000000000e+02 0.000000000000000000e+00 inf -inf
5.250000000000000000e+02 0.000000000000000000e+00 inf -inf
5.350000000000000000e+02 0.000000000000000000e+00 inf -inf
5.450000000000000000e+02 0.000000000000000000e+00 inf -inf
5.550000000000000000e+02 0.000000000000000000e+00 inf -inf
5.650000000000000000e+02 0.000000000000000000e+00 inf -inf
5.750000000000000000e+02 0.000000000000000000e+00 inf -inf
5.850000000000000000e+02 0.000000000000000000e+00 inf -inf
5.950000000000000000e+02 0.000000000000000000e+00 inf -inf
6.050000000000000000e+02 0.000000000000000000e+00 inf -inf
6.150000000000000000e+02 0.000000000000000000e+00 inf -inf
6.250000000000000000e+02 0.000000000000000000e+00 inf -inf
6.350000000000000000e+02 0.000000000000000000e+00 inf -inf
6.450000000000000000e+02 0.000000000000000000e+00 inf -inf
6.550000000000000000e+02 0.000000000000000000e+00 inf -inf
6.650000000000000000e+02 0.000000000000000000e+00 inf -inf
