# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0006
# created at:         Mon Apr 22 14:32:08 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_10110_lipid_systems/WE_runs/Analysis/data/multi_west_aux/stdcluschol.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e+00 0.000000000000000000e+00 inf -inf
1.500000000000000000e+01 2.041688667025608628e-04 4.658093350546746336e+00 -3.690010481887332272e+00
2.500000000000000000e+01 9.084522063985597459e-03 8.627134076352445113e-01 -2.041697915954587828e+00
3.500000000000000000e+01 2.152651650321959695e-02 0.000000000000000000e+00 -1.667026243554650344e+00
4.500000000000000000e+01 1.116754662307811383e-02 6.562735518184497074e-01 -1.952042225728450875e+00
5.500000000000000000e+01 5.158306297151471487e-03 1.428677212317566170e+00 -2.287492873285089878e+00
6.500000000000000000e+01 2.705703759023781602e-03 2.073923452788600574e+00 -2.567719754990478442e+00
7.500000000000000000e+01 1.577282213733372743e-03 2.613582252896201386e+00 -2.802090593987739631e+00
8.500000000000000000e+01 2.995012526612889168e-03 1.972337086876195134e+00 -2.523601356838116150e+00
9.500000000000000000e+01 1.626365785738747780e-03 2.582937554638598865e+00 -2.788781770634872537e+00
1.050000000000000000e+02 4.144458678712619262e-03 1.647513317093766805e+00 -2.382532186030595689e+00
1.150000000000000000e+02 3.576119153952538651e-03 1.795007323730657856e+00 -2.446588019226799027e+00
1.250000000000000000e+02 2.731294445442781615e-03 2.064509848282982230e+00 -2.563631478498868965e+00
1.350000000000000000e+02 2.924760504375647791e-03 1.996072902457706189e+00 -2.533909690568640016e+00
1.450000000000000000e+02 2.786853273294612795e-03 2.044372400655894761e+00 -2.554885896114809540e+00
1.550000000000000000e+02 3.026847121974166922e-03 1.961763976977922486e+00 -2.519009513552739943e+00
1.650000000000000000e+02 5.364350529582858837e-03 1.389510189116363481e+00 -2.270482851236230726e+00
1.750000000000000000e+02 3.122850520529559058e-03 1.930539287851459118e+00 -2.505448803365972310e+00
1.850000000000000000e+02 3.093049264544471023e-03 1.940128079612814194e+00 -2.509613162716048507e+00
1.950000000000000000e+02 2.720424894091078884e-03 2.068497421772212963e+00 -2.565363259661425754e+00
2.050000000000000000e+02 2.271232513509054921e-03 2.248962859305137396e+00 -2.643738403356230560e+00
2.150000000000000000e+02 1.863549391692673890e-03 2.446802556558548947e+00 -2.729659092174797408e+00
2.250000000000000000e+02 1.764844943725198904e-03 2.501222664997790002e+00 -2.753293444974536097e+00
2.350000000000000000e+02 1.051095046433539026e-03 3.019452978852453118e+00 -2.978358010636607212e+00
2.450000000000000000e+02 8.510707834698272040e-04 3.230545477995792059e+00 -3.070034318185725919e+00
2.550000000000000000e+02 9.711429183455137087e-04 3.098567135703458764e+00 -3.012716852397427036e+00
2.650000000000000000e+02 5.523864484750193619e-04 3.662792890778475030e+00 -3.257756984374202247e+00
2.750000000000000000e+02 2.394159897058308094e-04 4.498838198280830980e+00 -3.620846848043583144e+00
2.850000000000000000e+02 1.749103134958173225e-04 4.812767431681670871e+00 -3.757184581817685665e+00
2.950000000000000000e+02 2.308592654040197316e-04 4.535232495741432501e+00 -3.636652690603467963e+00
3.050000000000000000e+02 4.487147607820609794e-05 6.173238463705633450e+00 -4.348029643814915524e+00
3.150000000000000000e+02 7.974236322770154786e-05 5.598239801745991784e+00 -4.098310897824088528e+00
3.250000000000000000e+02 4.686549790146051186e-05 6.129759027619149592e+00 -4.329146764646289114e+00
3.350000000000000000e+02 4.539372323997987199e-05 6.161666939062218518e+00 -4.343004194515072136e+00
3.450000000000000000e+02 2.761862995496927641e-04 4.355965143548807816e+00 -3.558797868760803951e+00
3.550000000000000000e+02 0.000000000000000000e+00 inf -inf
3.650000000000000000e+02 0.000000000000000000e+00 inf -inf
3.750000000000000000e+02 0.000000000000000000e+00 inf -inf
3.850000000000000000e+02 0.000000000000000000e+00 inf -inf
3.950000000000000000e+02 0.000000000000000000e+00 inf -inf
4.050000000000000000e+02 0.000000000000000000e+00 inf -inf
4.150000000000000000e+02 0.000000000000000000e+00 inf -inf
4.250000000000000000e+02 0.000000000000000000e+00 inf -inf
4.350000000000000000e+02 0.000000000000000000e+00 inf -inf
4.450000000000000000e+02 0.000000000000000000e+00 inf -inf
4.550000000000000000e+02 0.000000000000000000e+00 inf -inf
4.650000000000000000e+02 0.000000000000000000e+00 inf -inf
4.750000000000000000e+02 0.000000000000000000e+00 inf -inf
4.850000000000000000e+02 0.000000000000000000e+00 inf -inf
4.950000000000000000e+02 0.000000000000000000e+00 inf -inf
5.050000000000000000e+02 0.000000000000000000e+00 inf -inf
5.150000000000000000e+02 0.000000000000000000e+00 inf -inf
5.250000000000000000e+02 0.000000000000000000e+00 inf -inf
5.350000000000000000e+02 0.000000000000000000e+00 inf -inf
5.450000000000000000e+02 0.000000000000000000e+00 inf -inf
5.550000000000000000e+02 0.000000000000000000e+00 inf -inf
5.650000000000000000e+02 0.000000000000000000e+00 inf -inf
5.750000000000000000e+02 0.000000000000000000e+00 inf -inf
5.850000000000000000e+02 0.000000000000000000e+00 inf -inf
5.950000000000000000e+02 0.000000000000000000e+00 inf -inf
6.050000000000000000e+02 0.000000000000000000e+00 inf -inf
6.150000000000000000e+02 0.000000000000000000e+00 inf -inf
6.250000000000000000e+02 0.000000000000000000e+00 inf -inf
6.350000000000000000e+02 0.000000000000000000e+00 inf -inf
6.450000000000000000e+02 0.000000000000000000e+00 inf -inf
6.550000000000000000e+02 0.000000000000000000e+00 inf -inf
6.650000000000000000e+02 0.000000000000000000e+00 inf -inf
6.750000000000000000e+02 0.000000000000000000e+00 inf -inf
6.850000000000000000e+02 0.000000000000000000e+00 inf -inf
6.950000000000000000e+02 0.000000000000000000e+00 inf -inf
7.050000000000000000e+02 0.000000000000000000e+00 inf -inf
7.150000000000000000e+02 0.000000000000000000e+00 inf -inf
7.250000000000000000e+02 0.000000000000000000e+00 inf -inf
7.350000000000000000e+02 0.000000000000000000e+00 inf -inf
7.450000000000000000e+02 0.000000000000000000e+00 inf -inf
7.550000000000000000e+02 0.000000000000000000e+00 inf -inf
7.650000000000000000e+02 0.000000000000000000e+00 inf -inf
7.750000000000000000e+02 0.000000000000000000e+00 inf -inf
7.850000000000000000e+02 0.000000000000000000e+00 inf -inf
7.950000000000000000e+02 0.000000000000000000e+00 inf -inf
