# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0006
# created at:         Mon Apr 22 14:32:04 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_10110_lipid_systems/WE_runs/Analysis/data/multi_west_aux/stdclusdipc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e+00 3.662147984984311273e-04 4.184261986743444517e+00 -3.436264110126201476e+00
1.500000000000000000e+01 2.404018367811815854e-02 0.000000000000000000e+00 -1.619062218445986190e+00
2.500000000000000000e+01 2.048242967728733724e-02 1.601593204377009805e-01 -1.688618527537454117e+00
3.500000000000000000e+01 5.092581803697947274e-03 1.551941817605072771e+00 -2.293061986066772029e+00
4.500000000000000000e+01 5.615213940095383676e-04 3.756832154157234704e+00 -3.250633692433179789e+00
5.500000000000000000e+01 7.465291064370982920e-04 3.472047422382899207e+00 -3.126953254893288126e+00
6.500000000000000000e+01 2.466521889489459683e-03 2.276917733789272980e+00 -2.607915025978324586e+00
7.500000000000000000e+01 3.469609407038152984e-03 1.935684725348654212e+00 -2.459719413369318097e+00
8.500000000000000000e+01 3.854302454858927422e-03 1.830536705077757453e+00 -2.414054208382616196e+00
9.500000000000000000e+01 7.425196684943878751e-03 1.174847576265888094e+00 -2.129292037895671008e+00
1.050000000000000000e+02 5.123620773346982543e-03 1.545865378748364272e+00 -2.290423022201681036e+00
1.150000000000000000e+02 6.682164346713093117e-03 1.280284811088980845e+00 -2.175082847166477595e+00
1.250000000000000000e+02 3.955562049725067954e-03 1.804604047853695548e+00 -2.402791798449117611e+00
1.350000000000000000e+02 4.207612678427395322e-03 1.742831323059403026e+00 -2.375964244938828518e+00
1.450000000000000000e+02 4.184784545268213814e-03 1.748271530154512199e+00 -2.378326896860645245e+00
1.550000000000000000e+02 2.314776646185779524e-03 2.340413548404199240e+00 -2.635490907889538992e+00
1.650000000000000000e+02 2.335387373625663794e-03 2.331548974028337717e+00 -2.631641072153681371e+00
1.750000000000000000e+02 1.179809524414271536e-03 3.014373744698480628e+00 -2.928188102162577966e+00
1.850000000000000000e+02 9.175784838040456021e-04 3.265743911939528843e+00 -3.037356778710462724e+00
1.950000000000000000e+02 1.920105638811898962e-04 4.829931638411920858e+00 -3.716674876978215636e+00
2.050000000000000000e+02 4.016015974545629474e-04 4.092021483045563457e+00 -3.396204568362235499e+00
2.150000000000000000e+02 4.978807599760179821e-10 1.769263197654926500e+01 -9.302874656206356008e+00
2.250000000000000000e+02 0.000000000000000000e+00 inf -inf
2.350000000000000000e+02 2.489403799880090040e-11 2.068836425010325542e+01 -1.060390465187033726e+01
2.450000000000000000e+02 0.000000000000000000e+00 inf -inf
2.550000000000000000e+02 0.000000000000000000e+00 inf -inf
2.650000000000000000e+02 0.000000000000000000e+00 inf -inf
2.750000000000000000e+02 0.000000000000000000e+00 inf -inf
2.850000000000000000e+02 0.000000000000000000e+00 inf -inf
2.950000000000000000e+02 0.000000000000000000e+00 inf -inf
3.050000000000000000e+02 0.000000000000000000e+00 inf -inf
3.150000000000000000e+02 0.000000000000000000e+00 inf -inf
3.250000000000000000e+02 0.000000000000000000e+00 inf -inf
3.350000000000000000e+02 0.000000000000000000e+00 inf -inf
3.450000000000000000e+02 0.000000000000000000e+00 inf -inf
3.550000000000000000e+02 0.000000000000000000e+00 inf -inf
3.650000000000000000e+02 0.000000000000000000e+00 inf -inf
