# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhg0001
# created at:         Mon Apr 22 14:31:43 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_1944_lipid_systems/WE_runs/Analysis/data/multi_west_aux/stdclusdppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e+00 3.285309276455364389e-03 1.451116383852443903e+00 -2.483423740035555660e+00
1.500000000000000000e+01 8.884975937219171879e-03 4.562154260859436761e-01 -2.051343744037304795e+00
2.500000000000000000e+01 1.402129407536239700e-02 0.000000000000000000e+00 -1.853211901929038286e+00
3.500000000000000000e+01 1.363715827255141885e-02 2.777888652069115949e-02 -1.865276119058391302e+00
4.500000000000000000e+01 9.491938686372701842e-03 3.901343003941502019e-01 -2.022645075791403624e+00
5.500000000000000000e+01 1.010026879192555196e-02 3.280151428861612928e-01 -1.995667068465205141e+00
6.500000000000000000e+01 1.248249402425416488e-02 1.162499947785660126e-01 -1.903698633182651312e+00
7.500000000000000000e+01 7.575358791269276582e-03 6.156764639833891550e-01 -2.120596792874730241e+00
8.500000000000000000e+01 5.401989270704038448e-03 9.538099102437787025e-01 -2.267446282732547669e+00
9.500000000000000000e+01 4.353893106931723198e-03 1.169506767474135067e+00 -2.361122237591564588e+00
1.050000000000000000e+02 2.545261649007259878e-03 1.706343725683010071e+00 -2.594267566223405819e+00
1.150000000000000000e+02 3.076803000877891860e-03 1.516686108264959643e+00 -2.511900309527828057e+00
1.250000000000000000e+02 2.567462432091903880e-03 1.697659148824293140e+00 -2.590495902416000362e+00
1.350000000000000000e+02 2.131955292215334443e-03 1.883537643237700010e+00 -2.671221906844227334e+00
1.450000000000000000e+02 4.123186451429995745e-04 3.526535997460352512e+00 -3.384767025859249934e+00
1.550000000000000000e+02 3.151745150756763802e-05 6.097791049888749981e+00 -4.501448906694759167e+00
1.650000000000000000e+02 1.296111233171098915e-09 1.619671931509427765e+01 -8.887357725410300446e+00
1.750000000000000000e+02 0.000000000000000000e+00 inf -inf
1.850000000000000000e+02 0.000000000000000000e+00 inf -inf
1.950000000000000000e+02 0.000000000000000000e+00 inf -inf
