# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0006
# created at:         Mon Apr 22 14:32:01 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_7776_lipid_systems/WE_runs/Analysis/data/multi_west_aux/stdclusdppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e+00 0.000000000000000000e+00 inf -inf
1.500000000000000000e+01 3.943412952966308819e-04 3.969779833716358564e+00 -3.404127741363539794e+00
2.500000000000000000e+01 9.877578611148924576e-03 7.489739189077408987e-01 -2.005349505280802358e+00
3.500000000000000000e+01 2.088938887656084653e-02 0.000000000000000000e+00 -1.680074265209716478e+00
4.500000000000000000e+01 1.276955894307441920e-02 4.921771898613109819e-01 -1.893824102885133254e+00
5.500000000000000000e+01 8.207281101454752884e-03 9.342196213001199290e-01 -2.085800691626104264e+00
6.500000000000000000e+01 5.195469595305582042e-03 1.391454306614832159e+00 -2.284375192393053755e+00
7.500000000000000000e+01 5.785426546058218371e-03 1.283899229746915172e+00 -2.237664616008637086e+00
8.500000000000000000e+01 6.359384458883975133e-03 1.189309731313426877e+00 -2.196584918792976904e+00
9.500000000000000000e+01 5.790151833955423273e-03 1.283082806065170001e+00 -2.237310047708759964e+00
1.050000000000000000e+02 3.919440703097738614e-03 1.673292354945580040e+00 -2.406775901573479093e+00
1.150000000000000000e+02 5.070848912450300408e-03 1.415733078847347226e+00 -2.294919329201020819e+00
1.250000000000000000e+02 3.506756672985677364e-03 1.784549735274022719e+00 -2.455094367921133447e+00
1.350000000000000000e+02 1.631590357642437403e-03 2.549686102099314677e+00 -2.787388869936860303e+00
1.450000000000000000e+02 1.516931770471029433e-03 2.622551598050048671e+00 -2.819033952749407934e+00
1.550000000000000000e+02 1.793809511454627723e-03 2.454899743694310299e+00 -2.746223677521862694e+00
1.650000000000000000e+02 1.401682909662331587e-03 2.701567727753548365e+00 -2.853350221860989411e+00
1.750000000000000000e+02 9.110662183497008227e-04 3.132381017610273322e+00 -3.040450056376351018e+00
1.850000000000000000e+02 9.648506224829587943e-04 3.075023305766954262e+00 -3.015539918628200589e+00
1.950000000000000000e+02 7.386723739608410310e-04 3.342142114118957341e+00 -3.131548143108048077e+00
2.050000000000000000e+02 6.610665570037719662e-04 3.453142073604398288e+00 -3.179754813004059155e+00
2.150000000000000000e+02 8.623849881398608450e-04 3.187294806839673367e+00 -3.064298812019077722e+00
2.250000000000000000e+02 4.865295407773398764e-04 3.759698978964561622e+00 -3.312890785391315873e+00
2.350000000000000000e+02 1.025830010172120073e-04 5.316324362853031005e+00 -3.988924600004609022e+00
2.450000000000000000e+02 2.102188391336062140e-04 4.598847520539594669e+00 -3.677328366494513556e+00
2.550000000000000000e+02 2.486261363367231079e-04 4.431046292121207486e+00 -3.604453218935820935e+00
2.650000000000000000e+02 2.966472044434334088e-04 4.254453030863013296e+00 -3.527759740030088409e+00
2.750000000000000000e+02 1.026467609615893881e-04 5.315703011000220357e+00 -3.988654750323612941e+00
2.850000000000000000e+02 1.405519778145690229e-04 5.001419230551720219e+00 -3.852163038723135813e+00
2.950000000000000000e+02 7.393370758110640365e-05 5.643827751571445006e+00 -4.131157514529632202e+00
3.050000000000000000e+02 6.587301029466430384e-06 8.061852890613703693e+00 -5.181292489519027988e+00
3.150000000000000000e+02 7.838762895195968013e-05 5.585330478843980373e+00 -4.105752471777703860e+00
3.250000000000000000e+02 5.605042512942858382e-06 8.223329958449323129e+00 -5.251421089033954992e+00
3.350000000000000000e+02 0.000000000000000000e+00 inf -inf
3.450000000000000000e+02 0.000000000000000000e+00 inf -inf
3.550000000000000000e+02 0.000000000000000000e+00 inf -inf
3.650000000000000000e+02 0.000000000000000000e+00 inf -inf
3.750000000000000000e+02 0.000000000000000000e+00 inf -inf
3.850000000000000000e+02 0.000000000000000000e+00 inf -inf
3.950000000000000000e+02 0.000000000000000000e+00 inf -inf
4.050000000000000000e+02 0.000000000000000000e+00 inf -inf
4.150000000000000000e+02 0.000000000000000000e+00 inf -inf
4.250000000000000000e+02 0.000000000000000000e+00 inf -inf
4.350000000000000000e+02 0.000000000000000000e+00 inf -inf
4.450000000000000000e+02 0.000000000000000000e+00 inf -inf
4.550000000000000000e+02 0.000000000000000000e+00 inf -inf
4.650000000000000000e+02 0.000000000000000000e+00 inf -inf
4.750000000000000000e+02 0.000000000000000000e+00 inf -inf
4.850000000000000000e+02 0.000000000000000000e+00 inf -inf
4.950000000000000000e+02 0.000000000000000000e+00 inf -inf
5.050000000000000000e+02 0.000000000000000000e+00 inf -inf
5.150000000000000000e+02 0.000000000000000000e+00 inf -inf
5.250000000000000000e+02 0.000000000000000000e+00 inf -inf
5.350000000000000000e+02 0.000000000000000000e+00 inf -inf
5.450000000000000000e+02 0.000000000000000000e+00 inf -inf
5.550000000000000000e+02 0.000000000000000000e+00 inf -inf
5.650000000000000000e+02 0.000000000000000000e+00 inf -inf
5.750000000000000000e+02 0.000000000000000000e+00 inf -inf
5.850000000000000000e+02 0.000000000000000000e+00 inf -inf
5.950000000000000000e+02 0.000000000000000000e+00 inf -inf
6.050000000000000000e+02 0.000000000000000000e+00 inf -inf
6.150000000000000000e+02 0.000000000000000000e+00 inf -inf
6.250000000000000000e+02 0.000000000000000000e+00 inf -inf
6.350000000000000000e+02 0.000000000000000000e+00 inf -inf
6.450000000000000000e+02 0.000000000000000000e+00 inf -inf
6.550000000000000000e+02 0.000000000000000000e+00 inf -inf
6.650000000000000000e+02 0.000000000000000000e+00 inf -inf
6.750000000000000000e+02 0.000000000000000000e+00 inf -inf
6.850000000000000000e+02 0.000000000000000000e+00 inf -inf
6.950000000000000000e+02 0.000000000000000000e+00 inf -inf
7.050000000000000000e+02 0.000000000000000000e+00 inf -inf
7.150000000000000000e+02 0.000000000000000000e+00 inf -inf
7.250000000000000000e+02 0.000000000000000000e+00 inf -inf
7.350000000000000000e+02 0.000000000000000000e+00 inf -inf
7.450000000000000000e+02 0.000000000000000000e+00 inf -inf
7.550000000000000000e+02 0.000000000000000000e+00 inf -inf
7.650000000000000000e+02 0.000000000000000000e+00 inf -inf
7.750000000000000000e+02 0.000000000000000000e+00 inf -inf
7.850000000000000000e+02 0.000000000000000000e+00 inf -inf
7.950000000000000000e+02 0.000000000000000000e+00 inf -inf
