# created by program: /scratch/aporutho/miniconda3_NEW/envs/westpa2-loos/bin/plothist
# created by user:    aporutho
# created on host:    bhp0006
# created at:         Mon Apr 22 14:31:52 2024
# source data: /gpfs/fs2/scratch/agrossfi_lab/ashlin/systemSize/DIPC_DPPC_10110_lipid_systems/WE_runs/Analysis/data/multi_west_aux/stdcoredppc.h5 dimension 0
# column 0: midpoint of bin
# column 1: probability in bin
# column 2: -ln P
# column 3: log10 P
5.000000000000000000e+00 4.767967799158959186e-03 2.147822898631985833e+00 -2.321666686299447502e+00
1.500000000000000000e+01 4.084331150449249659e-02 0.000000000000000000e+00 -1.388879053318128554e+00
2.500000000000000000e+01 4.423327973116317896e-03 2.222850726969761492e+00 -2.354250858135727764e+00
3.500000000000000000e+01 4.130251539567981399e-05 6.896574950245542013e+00 -4.384023498241960581e+00
4.500000000000000000e+01 1.102170012991566779e-03 3.612462099246987801e+00 -2.957751409105732421e+00
5.500000000000000000e+01 2.707195502890557236e-03 2.713829845578057398e+00 -2.567480380077033164e+00
6.500000000000000000e+01 7.518145103229028139e-03 1.692423629109060190e+00 -2.123889296482869060e+00
7.500000000000000000e+01 6.062976301563011844e-03 1.907542256456344010e+00 -2.217314129294396530e+00
8.500000000000000000e+01 6.082888321272933441e-03 1.904263438822991095e+00 -2.215890156889063878e+00
9.500000000000000000e+01 5.791072343365071158e-03 1.953425594295804313e+00 -2.237241009729376895e+00
1.050000000000000000e+02 6.404280420052438187e-03 1.852776492398814145e+00 -2.193529660166995576e+00
1.150000000000000000e+02 5.258683264996854428e-03 2.049862409276766773e+00 -2.279122986327933642e+00
1.250000000000000000e+02 4.448576343618526087e-03 2.217158952630546853e+00 -2.351778951947968821e+00
1.350000000000000000e+02 6.613488241234091345e-04 4.123216931346185277e+00 -3.179569414291835816e+00
1.450000000000000000e+02 1.939116288870901652e-03 3.047510726746760934e+00 -2.712396145485215460e+00
1.550000000000000000e+02 7.950624594999259817e-04 3.939077676845325282e+00 -3.099598752160333870e+00
