,,,,,,,,,,,,,,,,,,,,,
System size,324,,,648,,,972,,,,,,,,,,,,,,
Box dimension,x,y ,z ,x,y ,z ,x,y ,z ,,,,,,,,,,,,
Replica 1,116.323,116.024,66.34,158.584,164.268,66.112,198.21,190.454,65.9,,,,,,,,,,,,
Replica 2,118.467,119.067,65.493,159.915,154.015,68.398,196.82,189.72,66.631,,,,,,,,,,,,
Replica 3,119.016,114.615,67.081,156.536,159.436,66.549,192.698,197.197,65.509,,,,,,,,,,,,
Replica 4,117.241,113.441,68.094,161.742,158.942,66.4,191.791,192.192,66.596,,,,,,,,,,,,
Mean,117.76175,115.78675,66.752,159.19425,159.16525,66.86475,194.87975,192.39075,66.159,,,,,,,,,,,,
System size,1944,,,3888,,,7776,,,,,,,,,,,,,,
Box dimension,x,y ,z ,x,y ,z ,x,y ,z ,,,,,,,,,,,,
Replica 1,264.978,266.779,69.529,367.68,371.779,68.215,513.788,511.888,71.54,,,,,,,,,,,,
Replica 2,263.191,262.19,69.072,373.556,369.657,66.607,510.024,511.212,71.57,,,,,,,,,,,,
Replica 3,266.761,266.161,69.871,370.878,368.978,70.558,516.373,513.173,71.335,,,,,,,,,,,,
Replica 4,265.563,266.862,68.011,371.423,371.223,69.752,515.511,517.511,70.89,,,,,,,,,,,,
Mean,265.12325,265.498,69.12075,370.88425,370.40925,68.783,513.924,513.446,71.33375,,,,,,,,,,,,
System size,10110,,,,,,,,,,,,,,,,,,,,
Box dimension,x,y ,z ,,,,,,,,,,,,,,,,,,
Replica 1,585.942,583.184,70.644,,,,,,,,,,,,,,,,,,
Replica 2,585.119,590.418,70.869,,,,,,,,,,,,,,,,,,
Replica 3,579.708,579.307,72.342,,,,,,,,,,,,,,,,,,
Replica 4,580.175,580.475,75.137,,,,,,,,,,,,,,,,,,
Mean,582.736,583.346,72.248,,,,,,,,,,,,,,,,,,
