System Size,Replica,323 K,,423 K,
,,Mean,Variance,Mean,Variance
324,1,0.635339506,0.113155384,0.087962963,0.067806471
,2,0.589506173,0.171567187,0.068209877,0.071167914
,3,0.586111111,0.165271654,0.07191358,0.065647938
,4,0.558641975,0.175627861,0.040895062,0.046786245
648,1,0.649074074,0.101164911,0.109490741,0.042513892
,2,0.599614198,0.086540198,0.087037037,0.045597608
,3,0.611342593,0.109535592,0.09212963,0.045229741
,4,0.628935185,0.106414896,0.079166667,0.050046418
972,1,0.626748971,0.071816006,0.093364198,0.045144421
,2,0.681481481,0.087540136,0.092386831,0.046874081
,3,0.690020576,0.06659574,0.088580247,0.040887652
,4,0.638168724,0.075144515,0.08122428,0.03343934
1944,1,0.696476337,0.041957299,0.092721193,0.027378085
,2,0.673533951,0.033354314,0.07507716,0.02044614
,3,0.644727366,0.046056844,0.0780607,0.027642597
,4,0.713168724,0.044930529,0.070961934,0.033678874
3888,1,0.684284979,0.034920606,0.09688786,0.018662474
,2,0.668479938,0.029353399,0.097775206,0.016175157
,3,0.663901749,0.039402157,0.093981481,0.021869008
,4,0.627674897,0.032696733,0.093042695,0.023229435
7776,1,0.652321245,0.019353355,0.094296553,0.015399962
,2,0.650964506,0.020036813,0.093576389,0.013466556
,3,0.639332562,0.032102472,0.093614969,0.010203442
,4,0.660127315,0.020642066,0.097376543,0.011433445
10110,1,0.649910979,0.020907225,0.098338279,0.013292959
,2,0.667734916,0.026128895,0.099436202,0.013639566
,3,0.663353116,0.013671391,0.096023739,0.015463127
,4,0.645855589,0.02215852,0.106107814,0.013633782
